index_id,index_name,symbol,valid_from,valid_to,weightage,source,source_url,notes,needs_manual_audit
221,Nifty 500,BOSCHLTD,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,BPCL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,BRFL,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,BRIGADE,2014-01-01,2017-03-31,,snapshot_floor,,closed by ind_prs16022017.pdf,True
221,Nifty 500,BRITANNIA,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CANBK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CANFINHOME,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CAPF,2014-01-01,2018-12-28,,snapshot_floor,,closed by ind_prs14122018.pdf,True
221,Nifty 500,CAPLIPOINT,2014-01-01,2023-03-31,,snapshot_floor,,closed by ind_prs17022023_1.pdf,True
221,Nifty 500,CARBORUNIV,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CASTROLIND,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CCL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CEATLTD,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CENTRALBK,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CENTURYTEX,2014-01-01,2018-12-28,,snapshot_floor,,closed by ind_prs14122018.pdf,True
221,Nifty 500,CERA,2014-01-01,2026-03-30,,snapshot_floor,,closed by ind_prs23022026.pdf,True
221,Nifty 500,CESC,2014-01-01,2018-02-05,,snapshot_floor,,closed by ind_prs08012018.pdf,True
221,Nifty 500,CGPOWER,2014-01-01,2019-12-26,,snapshot_floor,,closed by ind_prs18122019.pdf,True
221,Nifty 500,CHAMBLFERT,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CHENNPETRO,2014-01-01,2021-03-31,,snapshot_floor,,closed by ind_prs23022021.pdf,True
221,Nifty 500,CHOLAFIN,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CHOLAHLDNG,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CIEINDIA,2014-01-01,2025-03-28,,snapshot_floor,,closed by ind_prs21022025.pdf,True
221,Nifty 500,CIPLA,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,COALINDIA,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,COFFEEDAY,2014-01-01,2019-12-26,,snapshot_floor,,closed by ind_prs18122019.pdf,True
221,Nifty 500,COFORGE,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,COHANCE,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,COLPAL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CONCOR,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,COROMANDEL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CORPBANK,2014-01-01,2018-04-02,,snapshot_floor,,closed by ind_prs21022018.pdf,True
221,Nifty 500,COX&KINGS,2014-01-01,2018-06-29,,snapshot_floor,,closed by ind_prs24052018.pdf,True
221,Nifty 500,CRISIL,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CROMPGREAV,2014-01-01,2015-09-28,,snapshot_floor,,closed by ind_prs24082015.pdf,True
221,Nifty 500,CROMPTON,2014-01-01,,,snapshot_floor,,,True
221,Nifty 500,CUB,2014-01-01,,,snapshot_floor,,,True
