security_id,date,symbol,event_ids,held_before_event,pre_event_weight,materiality_status,reason,raw_price_return,modelled_stock_return,share_multiplier,cash_per_pre_event_share,modelling_assumption_id,evidence_source
NSE_8407496D15F8,2014-09-30,SUDARSCHEM,CA_8d931be6e8294f897529,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,-0.9028024122029088,,,,,
NSE_1846247E74B4,2014-10-08,JBMA,CA_3432097b522ad3df4a38,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,-0.7601426231087983,,,,,
NSE_A787B7252904,2014-10-09,POLARIS,CA_86c24bc61ce401233144,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.15322580645161288,,,,,
NSE_1789CF98709C,2014-11-17,BLUEDART,CA_faa277a19bfa2ac115cc,False,0.0,NOT_HELD,ACCEPTED_STRICT_RETURN_EXCEPTION,-0.0022959379559240878,,,,,
NSE_D92A46834C0F,2015-01-05,MINDACORP,CA_649d1a91c6704b6cc989,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,-0.8949794238683128,,,,,
NSE_B3968699E9E2,2015-01-16,INTELLECT,CA_22cfc3b9a81fe7f57ff6,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,0.05835764902042517,,,,,
NSE_148E052CEC64,2015-03-23,GRANULES,CA_46f159e1e6f12e1e79cb,False,0.0,NOT_HELD,ORDINARY_ACTION_PARSE_UNVERIFIED,-0.8963685193834656,,,,,
NSE_DCA00C31EBFD,2015-03-24,BALKRISIND,CA_73d0e9f8b8e4a8fdb881,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.017389891110027533,,,,,
NSE_D8A31493DD0A,2015-04-06,TATAMTRDVR,CA_916df9023b5865eabede,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,0.010057683774589599,,,,,
NSE_C60D64EC58FE,2015-05-28,ARVIND,CA_ee115bb800808115f870,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,0.06315554563713444,,,,,
NSE_42CD50DCCBD6,2015-06-03,ADANIENT,CA_8d241ef7b6f51f1aae85,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.8277080062794349,,,,,
NSE_71E0266D5F31,2015-06-12,MASTEK,CA_e90a53f3da415ef42ae8,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.659970323022486,,,,,
NSE_EC27C1265F27,2015-08-03,BAYERCROP,CA_e55059d9cb22496269b8,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.020424224254234735,,,,,
NSE_1671B749B56F,2015-09-29,IDFC,CA_459e414d3b71cfec6676;CA_6e65f1f070c79719ea69;CA_7287367d0d3ab252fb21;CA_7fff13b3128fa831178b;CA_9748c044a432c07eae8a;CA_9b94d0d6784fccc6c6f0;CA_a3bb8578d375a947c2b3;CA_a61682fef95fbe7aed84;CA_b4f80bbd69424f6b183a;CA_d2da918a2e1d1a015e22;CA_de9806670c7649a3e8cf;CA_e583c5277bfb87e79410;CA_e683a8a93f0015fe52fe;CA_fb9bbe6d8818ab95b335,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.011387900355871894,,,,,
NSE_1671B749B56F,2015-10-01,IDFC,CA_9a44748e33a9e6bfc8f7,False,0.0,NOT_HELD,TREATMENT_NOT_ACCEPTED,-0.5721375398794755,,,,,
