formation_date,holding_month,stock_return_increment_pp,modelled_event_weight,shadow_event_return_scenario,sigma_hat,exposure,risk_status
2018-04-30,2018-05,-5.0,0.01891351555442489,0.024253157564845983,0.20649336286742181,0.581132479677061,VALID
2018-04-30,2018-05,0.0,0.01891351555442489,0.02519883334256723,0.20671971364197275,0.580496160167063,VALID
2018-04-30,2018-05,5.0,0.01891351555442489,0.026144509120288473,0.2069544595287764,0.579837710543823,VALID
2018-05-31,2018-06,-5.0,0.01891351555442489,0.024253157564845983,0.2120184687961857,0.5659884286559796,VALID
2018-05-31,2018-06,0.0,0.01891351555442489,0.02519883334256723,0.21223892718019857,0.5654005209803743,VALID
2018-05-31,2018-06,5.0,0.01891351555442489,0.026144509120288473,0.21246757522320991,0.5647920623837911,VALID
2018-06-29,2018-07,-5.0,0.01891351555442489,0.024253157564845983,0.22722243065858816,0.5281168749589927,VALID
2018-06-29,2018-07,0.0,0.01891351555442489,0.02519883334256723,0.2274281514991479,0.5276391652000461,VALID
2018-06-29,2018-07,5.0,0.01891351555442489,0.026144509120288473,0.22764154367107095,0.5271445539544977,VALID
2018-07-31,2018-08,-5.0,0.01891351555442489,0.024253157564845983,0.22760018239516694,0.5272403507640958,VALID
2018-07-31,2018-08,0.0,0.01891351555442489,0.02519883334256723,0.22780556210557223,0.5267650135091444,VALID
2018-07-31,2018-08,5.0,0.01891351555442489,0.026144509120288473,0.22801860107645708,0.5262728542035161,VALID
2018-08-31,2018-09,-5.0,0.01891351555442489,0.024253157564845983,0.19517627172101185,0.6148288362200603,VALID
2018-08-31,2018-09,0.0,0.01891351555442489,0.02519883334256723,0.19541573156436695,0.6140754331258834,VALID
2018-08-31,2018-09,5.0,0.01891351555442489,0.026144509120288473,0.19566403975556024,0.6132961383702082,VALID
2018-09-28,2018-10,-5.0,0.01891351555442489,0.024253157564845983,0.19465503843121484,0.6164751807459858,VALID
2018-09-28,2018-10,0.0,0.01891351555442489,0.02519883334256723,0.19489513869406852,0.6157157166878688,VALID
2018-09-28,2018-10,5.0,0.01891351555442489,0.026144509120288473,0.1951441093069656,0.6149301684081971,VALID
2022-02-28,2022-03,-5.0,0.01891351555442489,0.024253157564845983,0.25091473369003475,0.47825011403372153,VALID
2022-02-28,2022-03,0.0,0.01891351555442489,0.02519883334256723,0.2511010447661728,0.47789526368456536,VALID
2022-02-28,2022-03,5.0,0.01891351555442489,0.026144509120288473,0.25129433537844076,0.47752767613835806,VALID
2022-03-31,2022-04,-5.0,0.01891351555442489,0.024253157564845983,0.2561306170917602,0.468510954928162,VALID
2022-03-31,2022-04,0.0,0.01891351555442489,0.02519883334256723,0.2563131368301835,0.4681773298241215,VALID
2022-03-31,2022-04,5.0,0.01891351555442489,0.026144509120288473,0.25650249983646767,0.4678316978450721,VALID
2022-04-29,2022-05,-5.0,0.01891351555442489,0.024253157564845983,0.25035490987518916,0.47931953904888175,VALID
2022-04-29,2022-05,0.0,0.01891351555442489,0.02519883334256723,0.2505416372552406,0.47896230468770096,VALID
2022-04-29,2022-05,5.0,0.01891351555442489,0.026144509120288473,0.2507353591122825,0.4785922513077322,VALID
2022-05-31,2022-06,-5.0,0.01891351555442489,0.024253157564845983,0.27625695912316517,0.43437819767827,VALID
2022-05-31,2022-06,0.0,0.01891351555442489,0.02519883334256723,0.27642619008317687,0.43411226687272975,VALID
2022-05-31,2022-06,5.0,0.01891351555442489,0.026144509120288473,0.2766017839322974,0.43383668136201126,VALID
2022-06-30,2022-07,-5.0,0.01891351555442489,0.024253157564845983,0.28589615069166135,0.4197328285452148,VALID
2022-06-30,2022-07,0.0,0.01891351555442489,0.02519883334256723,0.2860596792283589,0.41949288457463824,VALID
2022-06-30,2022-07,5.0,0.01891351555442489,0.026144509120288473,0.28622936325761605,0.4192441985485464,VALID
2022-07-29,2022-08,-5.0,0.01891351555442489,0.024253157564845983,0.2775772708513469,0.4323120536200693,VALID
2022-07-29,2022-08,0.0,0.01891351555442489,0.02519883334256723,0.27774569734417937,0.43204989725294407,VALID
2022-07-29,2022-08,5.0,0.01891351555442489,0.026144509120288473,0.27792045751227673,0.4317782183943734,VALID
2022-11-30,2022-12,-5.0,0.01891351555442489,0.024253157564845983,0.18831071068682628,0.6372446875821539,VALID
2022-11-30,2022-12,0.0,0.01891351555442489,0.02519883334256723,0.18855888963212544,0.636405953779838,VALID
2022-11-30,2022-12,5.0,0.01891351555442489,0.026144509120288473,0.18881621532572038,0.6355386363029897,VALID
2022-12-30,2023-01,-5.0,0.01891351555442489,0.024253157564845983,0.18428211491863414,0.6511755090990976,VALID
2022-12-30,2023-01,0.0,0.01891351555442489,0.02519883334256723,0.18453571193350937,0.6502806353451931,VALID
2022-12-30,2023-01,5.0,0.01891351555442489,0.026144509120288473,0.18479863984736436,0.6493554286931699,VALID
2023-01-31,2023-02,-5.0,0.01891351555442489,0.024253157564845983,0.19186173857446875,0.6254503940785645,VALID
2023-01-31,2023-02,0.0,0.01891351555442489,0.02519883334256723,0.1921053300373008,0.6246573167787681,VALID
2023-01-31,2023-02,5.0,0.01891351555442489,0.026144509120288473,0.1923579115590752,0.6238370911151564,VALID
2023-02-28,2023-03,-5.0,0.01891351555442489,0.024253157564845983,0.19421957094970654,0.6178574044480521,VALID
2023-02-28,2023-03,0.0,0.01891351555442489,0.02519883334256723,0.194460208885547,0.6170928267933113,VALID
2023-02-28,2023-03,5.0,0.01891351555442489,0.026144509120288473,0.1947097356334277,0.6163020026174718,VALID
