security_id,date,symbol,event_ids,held_before_event,pre_event_weight,materiality_status,reason,raw_price_return,modelled_stock_return,share_multiplier,cash_per_pre_event_share,modelling_assumption_id,evidence_source
NSE_42CD50DCCBD6,2018-04-05,ADANIENT,CA_09d4133ad6ad9024fa83,True,0.01891351555442489,MODELLED_ZERO_INCREMENTAL_ENTITLEMENT,TREATMENT_NOT_ACCEPTED,-0.02377022119511385,-0.02377022119511385,1.0,0.0,ADANIENT_2018_04_05_ZERO_INCREMENTAL_ENTITLEMENT,corporate_actions_20180401_20180430.json
NSE_03B0BD5CB55C,2022-02-22,HGS,CA_4bd3ac9cadba72dfd0ee;CA_a28c7ef7be5fba82424e,True,0.023241392509216734,VERIFIED_ORDINARY_COMBINED_ACTION,MULTIPLE_ACTION_UNITS_UNVERIFIED,-0.5207769405223499,-0.03131172726607667,2.0,28.0,HGS_2022_02_22_VERIFIED_BONUS_DIVIDEND,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f5386769-50d2-43c5-aa62-a7bee9caed11.pdf
NSE_4F096D93F0F3,2022-11-21,EASEMYTRIP,CA_bd1a9c0fb614d418b033;CA_d980fda0218090aafc5e,True,0.02061018465448926,VERIFIED_ORDINARY_COMBINED_ACTION,MULTIPLE_ACTION_UNITS_UNVERIFIED,-0.8499803639219793,0.20015708862416548,8.0,0.0,EASEMYTRIP_2022_11_21_VERIFIED_SPLIT_BONUS,https://www.easemytrip.com/investor-pdf/2022/Intimation-of-Record-Date-22-11-2022.pdf
