measure,value
primary_signal_convention,STRICT_AUDITABLE_SIGNAL_PRIMARY
first_shadow_formation,2014-08-28
first_shadow_holding_month,2014-09
first_daily_shadow_return,2014-09-01
rebalance_dates_completed,44
daily_observations,887
valid_daily_returns,886
valid_daily_returns_by_march_2015_formation,142
warmup_gate,PASS
first_blocker_date,2018-04-05
max_value_date_read,2023-03-31
