formation_date,rebalance_date,old_holdings_count,winner_count,prior_close_nav,opening_nav,closing_nav
2014-08-28,2014-09-01,0,50,1.0,1.0,1.013176088586599
2014-09-30,2014-10-01,50,49,1.0752720499962867,1.0774498370953363,1.0703783856682414
2014-10-31,2014-11-03,49,50,1.1279494823568015,1.1325728321630768,1.1507687625934668
2014-11-28,2014-12-01,50,50,1.1940618917941488,1.194540057769938,1.1836911783161568
2014-12-31,2015-01-01,50,50,1.2007562432730445,1.2010135544900395,1.208352815724382
2015-01-30,2015-02-02,50,50,1.2671223294715184,1.2647108041985922,1.2864017173310918
2015-02-28,2015-03-02,50,50,1.2722863467085586,1.279277122634528,1.3015216035744444
2015-03-31,2015-04-01,50,50,1.2923282514451881,1.2938873588974125,1.326424107175867
2015-04-30,2015-05-04,50,50,1.2629695740967652,1.2732373742962366,1.2873504073770283
2015-05-29,2015-06-01,50,50,1.3027199805436465,1.3063575140143069,1.2971828963374188
2015-06-30,2015-07-01,50,50,1.2829636163295837,1.2886058998488092,1.3035481132416473
2015-07-31,2015-08-03,50,50,1.4109222787278404,1.413435943418306,1.4205770962586244
2015-08-31,2015-09-01,50,50,1.2931448570261257,1.2822287619327293,1.263553449807582
2015-09-30,2015-10-01,50,50,1.3051452630988194,1.3135941623987732,1.3052771170642874
2015-10-30,2015-11-02,50,50,1.304381840697632,1.3053959537780266,1.300838442013875
2015-11-30,2015-12-01,50,50,1.3055686937102942,1.3106866987668793,1.3196035606019116
2015-12-31,2016-01-01,50,50,1.3436516225635469,1.346076198752298,1.3512966041184193
2016-01-29,2016-02-01,50,50,1.2122451248622326,1.2246579800086335,1.2201139822508351
2016-02-29,2016-03-01,50,50,1.0412745839696036,1.0441926457629984,1.0836039045188335
2016-03-31,2016-04-01,50,50,1.128106089707846,1.1306266632442006,1.1367239157832454
2016-04-29,2016-05-02,50,49,1.183621076568562,1.1835585450864325,1.1927608953146431
2016-05-31,2016-06-01,49,50,1.1728380876068831,1.1744034431952357,1.1760085427031908
2016-06-30,2016-07-01,50,50,1.2170704676211654,1.2205820839573567,1.2229872853189003
2016-07-29,2016-08-01,50,50,1.2795801535149252,1.2864194556061488,1.2849503101828335
2016-08-31,2016-09-01,50,50,1.3241138444584717,1.325354602777684,1.312011622116726
2016-09-30,2016-10-03,50,49,1.2962894337063162,1.308590721609779,1.3361664234969537
2016-10-30,2016-11-01,49,49,1.3763758340171832,1.3807266385603598,1.3787692693912434
2016-11-30,2016-12-01,49,50,1.2474379911715059,1.2546197803827863,1.2335707275669932
2016-12-30,2017-01-02,50,50,1.1804925205547805,1.1859966389817076,1.201038953002695
2017-01-31,2017-02-01,50,50,1.3043065666716533,1.307498019460615,1.335624348687538
2017-02-28,2017-03-01,50,50,1.383708912091265,1.3900349709618767,1.3973888104957684
2017-03-31,2017-04-03,50,49,1.470381678676679,1.477606773275687,1.4876543998340397
2017-04-28,2017-05-02,49,49,1.5621811250874416,1.571835716620544,1.5697400799739905
2017-05-31,2017-06-01,49,49,1.540667673969162,1.544019341886992,1.5614720668337747
2017-06-30,2017-07-03,49,49,1.5826445160369975,1.589739173791426,1.6037736289309956
2017-07-31,2017-08-01,49,49,1.6687448882529634,1.6764754060056362,1.6654953511048307
2017-08-31,2017-09-01,49,50,1.6899574384193374,1.6988680822850153,1.7140148046798975
2017-09-29,2017-10-03,50,50,1.7081988130457026,1.7307748628875486,1.7306344459309606
2017-10-31,2017-11-01,50,50,1.9449299401054494,1.957019417525342,1.9556492437027808
2017-11-30,2017-12-01,50,50,1.9688961943350485,1.9864508372468268,1.9467321862300153
2017-12-29,2018-01-01,50,50,2.093371987414957,2.100912363364167,2.0995952663042163
2018-01-31,2018-02-01,50,50,2.0495098349389016,2.0580666341845135,2.0544435276803013
2018-02-28,2018-03-01,50,50,1.988046389477294,1.989398298500925,1.9858844967134925
2018-03-28,2018-04-02,50,50,1.8455784759715752,1.8556332371926723,1.8964894873180784
