check,value
price_return_count,1808247.0
total_return_count,1808243.0
price_return_min,-0.9470890694974291
price_return_max,0.8987915407854985
total_return_min,-0.9470890694974291
total_return_max,0.8987915407854985
absolute_total_return_gt_100pct,0.0
prev_close_mismatch_when_comparable,7.0
accepted_parent_treatments,149.0
corporate_action_adjusted_rows,58.0
strict_total_return_exceptions,4.0
