example,event_id,security_id,symbol,series,ex_date,primary_class,purpose_normalized,source_file,repair_status,parsed_amount_or_ratio,membership_status,identity_candidate_count,identity_mapping_method,treatment_reviewed_for_in_universe_event,accepted_status,accepted_evidence,previous_close,ex_date_close,calculated_price_return,application_status,application_reason,cash_effect,share_effect,entitlement_effect,calculated_total_return
TCS_DIVIDEND,CA_22830fbbca45f765c49a,NSE_DBD0EB2724E0,TCS,EQ,2022-05-25,DIVIDEND,DIVIDEND - RS 22 PER SHARE,corporate_actions_20220501_20220531.json,UNCHANGED,22.0,IN_MEMBERSHIP,1,DATED_ALIAS,False,,,3288.0,3167.65,-0.03660279805352795,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,22.0,1.0,0.0,-0.029911800486618012
ORDINARY_BONUS,CA_fe781f1f133dbafff7b7,NSE_5E4BFA7651A2,AJRINFRA,EQ,2013-01-23,BONUS,BONUS 1:34,corporate_actions_20130101_20130131.json,UNCHANGED,1.0:34.0,PRE_MEMBERSHIP,0,UNIQUE_ACCEPTED_ALIAS_WITH_EX_DATE_PANEL_ID,False,,,14.1,13.9,-0.014184397163120477,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,0.0,1.0294117647058822,0.0,0.014810179390905232
ORDINARY_SPLIT,CA_eec1f8ce2802e7152467,NSE_015311D97283,PIIND,EQ,2013-04-12,SPLIT,FACE VALUE SPLIT FROM RS.5/- PER SHARE TO RE.1/- PER SHARE,corporate_actions_20130401_20130430.json,UNCHANGED,5.0:1.0,PRE_MEMBERSHIP,1,DATED_ALIAS,False,,,616.2,132.6,-0.7848101265822784,APPLIED_TO_RETURN,UNAMBIGUOUS_PARSED_ORDINARY_ACTION,0.0,5.0,0.0,0.07594936708860756
COMBINED,CA_2a62f5a6b7ede4f45b03,NSE_79E6C5F02193,MANINFRA,EQ,2014-08-28,SPLIT,ANNUAL GENERAL MEETING / DIVIDEND - RS 1.35/- PER SHARE / FACE VALUE SPLIT - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,corporate_actions_20140801_20140831.json,UNCHANGED,10.0:2.0,IN_MEMBERSHIP,1,ACCEPTED_TREATMENT,True,RESOLVED_COMBINED,LOCAL_NSE_CA_API:corporate_actions_20140801_20140831.json,160.7,30.65,-0.8092719352831362,APPLIED_TO_RETURN,ACCEPTED_TREATMENT,1.35,5.0,0.0,-0.037958929682638476
NO_DIRECT,CA_1feae9ca4c6aa87f52cf,NSE_855E4F920F23,JUSTDIAL,EQ,2015-12-03,BUYBACK,BUYBACK OF SHARES,corporate_actions_20151201_20151231.json,UNCHANGED,,IN_MEMBERSHIP,1,ACCEPTED_TREATMENT,True,RESOLVED_NO_DIRECT_HOLDER_ADJUSTMENT,LOCAL_NSE_CA_API:corporate_actions_20151201_20151231.json,914.25,870.2,-0.048181569592562146,NO_DIRECT_ADJUSTMENT_REQUIRED,ACCEPTED_NO_DIRECT_ADJUSTMENT,0.0,1.0,0.0,-0.048181569592562146
STRICT_EXCEPTION,CA_faa277a19bfa2ac115cc,NSE_1789CF98709C,BLUEDART,EQ,2014-11-17,DEBENTURE_ENTITLEMENT,SCHEME OF ARRANGEMENT - ISSUE OF BONUS DEBENTURES,corporate_actions_20141101_20141130.json,RECLASSIFIED,,IN_MEMBERSHIP,1,ACCEPTED_TREATMENT,True,UNRESOLVED_STRUCTURAL_EVENT,LOCAL_NSE_CA_API:corporate_actions_20141101_20141130.json;BLUEDART_BONUS_DEBENTURE_TERMS;BLUEDART_AR_2014_15;NSE_BLUEDART_LISTING_2014_11_26;FIMMDA_VALUATION_CIRCULAR_2012,6511.5,6496.55,-0.0022959379559240878,RETURN_UNAVAILABLE_EXPLICIT,ACCEPTED_STRICT_RETURN_EXCEPTION,0.0,1.0,0.0,
