event_id,security_id,event_date,event_reason,affected_formations,lowest_required_month_return_to_win,formations_with_required_return_at_most_10pct
CA_7c4b422d9b821ca69ce7,NSE_81E1BA306A07,2019-07-03,TREATMENT_NOT_ACCEPTED,7,-0.0030951090768444045,3
CA_1ef6e0f15339c33531c0,NSE_98CBA18954BD,2016-01-27,TREATMENT_NOT_ACCEPTED,4,0.01931006461246998,3
CA_73f2fd7856e2a8f125ac,NSE_E987DDA51421,2017-11-29,TREATMENT_NOT_ACCEPTED,5,0.0731582892363245,2
CA_4c8e2f9282e35bca8325,NSE_C941893EE311,2019-09-17,TREATMENT_NOT_ACCEPTED,3,-0.20572124647897416,2
CA_d4350a4891573655ee29,NSE_F96D3907BEE7,2017-10-17,TREATMENT_NOT_ACCEPTED,6,0.06925534555293189,1
CA_ee115bb800808115f870,NSE_C60D64EC58FE,2015-05-28,TREATMENT_NOT_ACCEPTED,5,0.09672726875461923,1
CA_019fd8c24a498ee04449,NSE_0E88CB8DDD57,2014-07-25,TREATMENT_NOT_ACCEPTED,11,0.3967969333073713,0
CA_52dafdfb28d9f35d7326,NSE_444C594AB9B7,2019-08-22,ACCEPTED_STRICT_RETURN_EXCEPTION,9,0.11079105581741011,0
CA_bc661c41f226f8cadf0f,NSE_F96D3907BEE7,2019-05-30,TREATMENT_NOT_ACCEPTED,8,0.4008600670925553,0
CA_253391c466422f1c9423,NSE_2B12B6998928,2017-09-05,TREATMENT_NOT_ACCEPTED,7,0.4378855821799408,0
CA_2a13e69ce26f43736219,NSE_0144F0CB1BA0,2014-03-03,TREATMENT_NOT_ACCEPTED,7,0.962714990290338,0
CA_58169035bd7640bbf863,NSE_53A37C11E6D9,2014-03-19,TREATMENT_NOT_ACCEPTED,7,1.4620946303696556,0
CA_78c8a95e2472b7c4caa7,NSE_9FB7052822E7,2018-10-30,TREATMENT_NOT_ACCEPTED,7,0.1706772066480906,0
CA_8274f48d00b93a70bd00,NSE_938AB0376CFC,2014-03-13,TREATMENT_NOT_ACCEPTED,7,0.5210388414606357,0
CA_a547b59a77462e2625dd,NSE_F10717A1FD65,2018-10-25,TREATMENT_NOT_ACCEPTED,7,1.3216468934879848,0
CA_df384ef3fc428b287dca,NSE_72AFBEE07E5D,2018-04-06,TREATMENT_NOT_ACCEPTED,7,0.7766141654685317,0
CA_73d0e9f8b8e4a8fdb881,NSE_DCA00C31EBFD,2015-03-24,TREATMENT_NOT_ACCEPTED,6,0.4410762468905307,0
CA_93e91333c57773c4c322,NSE_FE37750EBD83,2019-12-20,TREATMENT_NOT_ACCEPTED,6,0.9261960314080417,0
CA_d68d9be194519be0bb03,NSE_812A4A064978,2016-03-15,TREATMENT_NOT_ACCEPTED,6,0.32201488225897457,0
CA_05d4bfc29668bda65981,NSE_D33E443DE34A,2018-02-01,TREATMENT_NOT_ACCEPTED,5,0.3545240906274705,0
CA_579830341255203fac84,NSE_7E9F9084BD7D,2021-02-04,TREATMENT_NOT_ACCEPTED,5,1.564586723410471,0
CA_943bf15d9518ab3239fe,NSE_AE2862139B09,2014-02-13,TREATMENT_NOT_ACCEPTED,5,0.4757463338504202,0
CA_f8990b3551e9950dca04,NSE_DD6A0E2BA440,2014-02-18,TREATMENT_NOT_ACCEPTED,5,0.49504028694921387,0
CA_26c975868bc50d05ca8c,NSE_1EDC5AB6BDE5,2018-01-30,TREATMENT_NOT_ACCEPTED,4,0.22696679018545884,0
CA_426563cd086ccfc19532,NSE_108254EF6AA4,2022-01-14,TREATMENT_NOT_ACCEPTED,4,1.3347064450682673,0
CA_9e4a3e84724b4ddd5a30,NSE_64BF9F3DBA41,2019-01-24,TREATMENT_NOT_ACCEPTED,4,1.210245687461533,0
CA_10d544d633d683f23dca,NSE_873E06A5291B,2022-09-08,TREATMENT_NOT_ACCEPTED,3,0.2779535243468165,0
CA_9712390351bb6336e11a,NSE_951F0DE091F9,2017-07-19,TREATMENT_NOT_ACCEPTED,3,0.4818393212660541,0
CA_c0367514c7cc21c72f42,NSE_3FA872F937F6,2013-11-01,TREATMENT_NOT_ACCEPTED,3,0.9109695624289484,0
CA_8d241ef7b6f51f1aae85,NSE_42CD50DCCBD6,2015-06-03,TREATMENT_NOT_ACCEPTED,2,0.4431447599690703,0
CA_9a44748e33a9e6bfc8f7,NSE_1671B749B56F,2015-10-01,TREATMENT_NOT_ACCEPTED,1,0.5969620844415524,0
