priority_order,event_id,security_id,symbol,event_date,event_type,affected_formations,affected_scored_formations,first_affected_formation,last_affected_formation,possibly_material_scored_formations,warmup_only_formations,cannot_bound_formations,best_case_additional_return_required,event_materiality_class,needs_further_research,priority_group
26,CA_10d544d633d683f23dca,NSE_873E06A5291B,BEML,2022-09-08,STRUCTURAL,3,3,2022-12-30,2023-02-28,3,0,3,0.470204621450273,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
27,CA_4c8e2f9282e35bca8325,NSE_C941893EE311,TATACOMM,2019-09-17,STRUCTURAL,3,3,2020-06-30,2020-08-31,3,0,3,-0.07733737288771148,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
28,CA_9712390351bb6336e11a,NSE_951F0DE091F9,GRASIM,2017-07-19,STRUCTURAL,3,3,2018-04-30,2018-06-29,3,0,3,0.6189723372523043,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
29,CA_f55fe4c7dbe1fe161025,NSE_9A2A839DC6BD,TANLA,2020-06-09,BUYBACK,3,3,2021-03-31,2021-05-31,3,0,3,-0.8618705530212326,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
30,CA_8d241ef7b6f51f1aae85,NSE_42CD50DCCBD6,ADANIENT,2015-06-03,STRUCTURAL,2,2,2016-04-29,2016-05-31,2,0,2,1.3145166982389274,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
31,CA_9a44748e33a9e6bfc8f7,NSE_1671B749B56F,IDFC,2015-10-01,STRUCTURAL,1,1,2016-09-30,2016-09-30,1,0,1,1.1589971083239514,CANNOT_BOUND,True,SCORED_WINNER_UNCERTAINTY
32,CA_2a13e69ce26f43736219,NSE_0144F0CB1BA0,ZEEL,2014-03-03,PREFERENCE_SHARE_BONUS,7,0,2014-08-28,2015-02-28,0,7,0,0.952852690327554,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
33,CA_58169035bd7640bbf863,NSE_53A37C11E6D9,TATAPOWER,2014-03-19,RIGHTS,7,0,2014-08-28,2015-02-28,0,7,0,1.3815108740244786,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
34,CA_8274f48d00b93a70bd00,NSE_938AB0376CFC,IL&FSTRANS,2014-03-13,RIGHTS,7,0,2014-08-28,2015-02-28,0,7,0,0.4494122240854044,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
35,CA_a8d345a42906ab916c08,NSE_AF1487EA4B1C,RAJTV,2014-03-25,SPLIT,7,0,2014-08-28,2015-02-28,0,7,0,2.336504498149179,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
36,CA_943bf15d9518ab3239fe,NSE_AE2862139B09,WHEELS,2014-02-13,RIGHTS,5,0,2014-09-30,2015-01-30,0,5,0,0.7933363105117639,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
37,CA_f8990b3551e9950dca04,NSE_DD6A0E2BA440,WELCORP,2014-02-18,STRUCTURAL,5,0,2014-09-30,2015-01-30,0,5,0,0.38817644903727944,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
38,CA_c0367514c7cc21c72f42,NSE_3FA872F937F6,MARICO,2013-11-01,STRUCTURAL,3,0,2014-08-28,2014-10-31,0,3,0,0.8916253774796674,MATERIAL_WARMUP_ONLY,True,WARMUP_ONLY_SHADOW_DEPENDENCY
