formation_date,holding_month,target_exposure
2015-03-31,2015-04,0.6295363230783175
2015-04-30,2015-05,0.6295363230783175
2015-05-29,2015-06,0.6295363230783175
2015-06-30,2015-07,0.6295363230783175
2015-07-31,2015-08,0.6295363230783175
2015-08-31,2015-09,0.6295363230783175
2015-09-30,2015-10,0.6295363230783175
2015-10-30,2015-11,0.6295363230783175
2015-11-30,2015-12,0.6295363230783175
2015-12-31,2016-01,0.6295363230783175
2016-01-29,2016-02,0.6295363230783175
2016-02-29,2016-03,0.6295363230783175
2016-03-31,2016-04,0.6295363230783175
2016-04-29,2016-05,0.6295363230783175
2016-05-31,2016-06,0.6295363230783175
2016-06-30,2016-07,0.6295363230783175
2016-07-29,2016-08,0.6295363230783175
2016-08-31,2016-09,0.6295363230783175
2016-09-30,2016-10,0.6295363230783175
2016-10-30,2016-11,0.6295363230783175
2016-11-30,2016-12,0.6295363230783175
2016-12-30,2017-01,0.6295363230783175
2017-01-31,2017-02,0.6295363230783175
2017-02-28,2017-03,0.6295363230783175
2017-03-31,2017-04,0.6295363230783175
2017-04-28,2017-05,0.6295363230783175
2017-05-31,2017-06,0.6295363230783175
2017-06-30,2017-07,0.6295363230783175
2017-07-31,2017-08,0.6295363230783175
2017-08-31,2017-09,0.6295363230783175
2017-09-29,2017-10,0.6295363230783175
2017-10-31,2017-11,0.6295363230783175
2017-11-30,2017-12,0.6295363230783175
2017-12-29,2018-01,0.6295363230783175
2018-01-31,2018-02,0.6295363230783175
2018-02-28,2018-03,0.6295363230783175
2018-03-28,2018-04,0.6295363230783175
2018-04-30,2018-05,0.6295363230783175
2018-05-31,2018-06,0.6295363230783175
2018-06-29,2018-07,0.6295363230783175
2018-07-31,2018-08,0.6295363230783175
2018-08-31,2018-09,0.6295363230783175
2018-09-28,2018-10,0.6295363230783175
2018-10-31,2018-11,0.6295363230783175
2018-11-30,2018-12,0.6295363230783175
2018-12-31,2019-01,0.6295363230783175
2019-01-31,2019-02,0.6295363230783175
2019-02-28,2019-03,0.6295363230783175
2019-03-29,2019-04,0.6295363230783175
2019-04-30,2019-05,0.6295363230783175
2019-05-31,2019-06,0.6295363230783175
2019-06-28,2019-07,0.6295363230783175
2019-07-31,2019-08,0.6295363230783175
2019-08-30,2019-09,0.6295363230783175
2019-09-30,2019-10,0.6295363230783175
2019-10-31,2019-11,0.6295363230783175
2019-11-29,2019-12,0.6295363230783175
2019-12-31,2020-01,0.6295363230783175
2020-01-31,2020-02,0.6295363230783175
2020-02-28,2020-03,0.6295363230783175
2020-03-31,2020-04,0.6295363230783175
2020-04-30,2020-05,0.6295363230783175
2020-05-29,2020-06,0.6295363230783175
2020-06-30,2020-07,0.6295363230783175
2020-07-31,2020-08,0.6295363230783175
2020-08-31,2020-09,0.6295363230783175
2020-09-30,2020-10,0.6295363230783175
2020-10-30,2020-11,0.6295363230783175
2020-11-27,2020-12,0.6295363230783175
2020-12-31,2021-01,0.6295363230783175
2021-01-29,2021-02,0.6295363230783175
2021-02-26,2021-03,0.6295363230783175
2021-03-31,2021-04,0.6295363230783175
2021-04-30,2021-05,0.6295363230783175
2021-05-31,2021-06,0.6295363230783175
2021-06-30,2021-07,0.6295363230783175
2021-07-30,2021-08,0.6295363230783175
2021-08-31,2021-09,0.6295363230783175
2021-09-30,2021-10,0.6295363230783175
2021-10-29,2021-11,0.6295363230783175
2021-11-30,2021-12,0.6295363230783175
2021-12-31,2022-01,0.6295363230783175
2022-01-31,2022-02,0.6295363230783175
2022-02-28,2022-03,0.6295363230783175
2022-03-31,2022-04,0.6295363230783175
2022-04-29,2022-05,0.6295363230783175
2022-05-31,2022-06,0.6295363230783175
2022-06-30,2022-07,0.6295363230783175
2022-07-29,2022-08,0.6295363230783175
2022-08-30,2022-09,0.6295363230783175
2022-09-30,2022-10,0.6295363230783175
2022-10-31,2022-11,0.6295363230783175
2022-11-30,2022-12,0.6295363230783175
2022-12-30,2023-01,0.6295363230783175
2023-01-31,2023-02,0.6295363230783175
2023-02-28,2023-03,0.6295363230783175
