left_isin,right_isin,old_symbol,new_symbol,effective_date,evidence,joined
INF247L01031,INF247L01AP3,MON100,MON100,2021-06-18,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE861B01015,INE861B01023,MOTOGENFIN,MOTOGENFIN,2020-06-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE987B01018,INE987B01026,NATCOPHARM,NATCOPHARM,2015-11-27,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE048G01018,INE048G01026,NAVINFLUOR,NAVINFLUOR,2017-07-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE095N01015,INE095N01023,NBCC,NBCC,2016-06-03,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE095N01023,INE095N01031,NBCC,NBCC,2018-04-26,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE365I01012,INE365I01020,NBIFIN,NBIFIN,2017-12-08,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE317F01027,INE317F01035,NESCO,NESCO,2017-09-18,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF204KA17D8,INF204KB18I3,NETFNV20,NETFNV20,2019-12-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF732E01011,INF204KB14I2,NIFTYBEES,NIFTYBEES,2019-12-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE567A01010,INE567A01028,NIPPOBATRY,NIPPOBATRY,2021-10-29,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE840Y01011,INE840Y01029,ONEPOINT,ONEPOINT,2022-01-19,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE06IR01013,INE06IR01021,OSIAHYPER,OSIAHYPER,2023-03-13,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE420C01042,INE420C01059,PAISALO,PAISALO,2022-07-01,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE305C01011,INE305C01029,PANAMAPET,PANAMAPET,2014-09-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE602A01023,INE602A01031,PCBL,PCBL,2022-04-12,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE111Q01013,INE111Q01021,PDSL,PDSL,2022-08-29,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE602A01015,INE602A01023,PHILIPCARB,PHILIPCARB,2018-04-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE603J01022,INE603J01030,PIIND,PIIND,2013-04-15,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE600A01027,INE600A01035,PILITA,PILITA,2016-08-25,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE450D01013,INE450D01021,PITTILAM,PITTILAM,2015-04-17,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE160A01014,INE160A01022,PNB,PNB,2014-12-19,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE195J01011,INE195J01029,PNCINFRA,PNCINFRA,2016-08-16,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE637C01017,INE637C01025,POKARNA,POKARNA,2017-10-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE205C01013,INE205C01021,POLYMED,POLYMED,2015-02-03,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE696K01016,INE696K01024,PRAKASHSTL,PRAKASHSTL,2016-03-04,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE372C01011,INE372C01029,PRECWIRE,PRECWIRE,2016-03-22,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE372C01029,INE372C01037,PRECWIRE,PRECWIRE,2021-12-23,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF732E01110,INF204KB16I7,PSUBNKBEES,PSUBNKBEES,2019-12-20,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE034D01031,INE034D01049,PTL,PTL,2021-12-24,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INF082J01010,INF082J01408,QGOLDHALF,QGOLDHALF,2021-12-17,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE919I01016,INE919I01024,RADIOCITY,RADIOCITY,2019-02-21,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
INE00KV01014,INE00KV01022,RAJMET,RAJMET,2022-11-30,CONTIGUOUS_SAME_SYMBOL_ISIN_TRANSITION,True
