account,last_valid_date,valid_daily_nav_rows,blocker,maximum_value_bearing_market_date_read,last_market_date_processed,unspendable_dividend_count,unspendable_dividend_amount,unavailable_bonus_count,unavailable_bonus_units,unavailable_bonus_value,max_nav_reconciliation_error,dhani_event_status
MOM,2018-02-08,709,"{""date"": ""2018-02-09"", ""event_id"": ""CA_2dcc6f730654721a5203"", ""security_id"": ""NSE_B0F020774F39"", ""reason"": ""UNRESOLVED_HELD_RIGHTS_NAV"", ""held_quantity"": 1154, ""last_mark"": 241.55, ""prior_close_exposure_value"": 278748.7, ""prior_close_weight"": 0.0204612798999279}",2023-03-31,2018-02-09,177,275966.25,10,5318.133333333333,756641.83,0.0,UNRESOLVED_HELD_RIGHTS_NAV
VM,2018-02-08,709,"{""date"": ""2018-02-09"", ""event_id"": ""CA_2dcc6f730654721a5203"", ""security_id"": ""NSE_B0F020774F39"", ""reason"": ""UNRESOLVED_HELD_RIGHTS_NAV"", ""held_quantity"": 642, ""last_mark"": 241.55, ""prior_close_exposure_value"": 155075.1, ""prior_close_weight"": 0.01261843692291197}",2023-03-31,2018-02-09,177,176857.66,10,3014.6666666666665,471095.75,0.0,UNRESOLVED_HELD_RIGHTS_NAV
