strategy,accounting_view,start_nav,end_nav,total_return,cagr,annualised_volatility,sharpe_0pct_cash,max_drawdown,drawdown_start_date,drawdown_trough_date,drawdown_recovery_date,annualised_recurring_gross_turnover,annualised_recurring_round_trip_turnover,total_transaction_costs,annualised_implementation_cost_drag,total_capital_gains_tax_paid,annualised_tax_drag,scheduled_monthly_rebalances,number_of_fills,average_realised_equity_exposure,minimum_realised_equity_exposure,maximum_realised_equity_exposure,unpriced_rights_or_claim_nav_days
MOM,executable_after_tax,10000000.0,19721080.071638945,0.9721080071638946,0.08862474271933651,0.20304359594810706,0.5281280768459532,-0.3831899820393342,2018-01-11,2020-03-23,2020-09-15,6.282621109653507,3.1413105548267537,1745848.953644829,0.010658962087634727,2106526.6958273286,0.013902684285855171,96,15346,0.9420206334871996,0.48166312304116626,0.9934344834828683,16
VM,executable_after_tax,10000000.0,14830213.830782963,0.48302138307829634,0.05051029099041737,0.1423169460533411,0.4241079809462475,-0.3441506189790875,2020-02-20,2020-03-23,2021-02-16,4.963693006596072,2.481846503298036,1129125.9443309158,0.00910568709774684,1119496.0187750417,0.009602938624424295,96,20834,0.6381433535917513,0.3881527247509865,0.9785873814215912,488
FIX,executable_after_tax,10000000.0,16939838.373482753,0.6939838373482752,0.06812693268032866,0.1350023429006988,0.5644603423848824,-0.2699633896353718,2018-01-11,2020-03-23,2020-09-14,4.797057551562267,2.3985287757811333,1164905.666586375,0.008292461248908811,1521259.434375281,0.011547708121988576,96,21662,0.6379817584429004,0.5369064566693158,0.7217142621194842,488
FIXVOL,executable_after_tax,10000000.0,17321595.746632706,0.7321595746632705,0.07110756036808463,0.1419433384692594,0.5636808956727872,-0.2831354214445947,2018-01-11,2020-03-23,2020-09-14,5.033024410569844,2.516512205284922,1243367.861685496,0.008647452057815919,1613901.7789039805,0.0119978962612739,96,21715,0.6696276004614924,0.56475603734062,0.7572327187457932,488
