strategy,rebalance_cadence,turnover_denominator,annualised_recurring_gross_turnover,annualised_recurring_round_trip_turnover,initial_funding_traded_notional,initial_funding_costs,total_traded_notional,total_stt,total_stamp,total_exchange,total_sebi_gst,total_fees,total_impact,total_implementation_costs,effective_buy_cost_bps,effective_sell_cost_bps,effective_round_trip_cost_bps,annualised_implementation_cost_drag,total_capital_gains_tax_paid,ending_accrued_tax_liability,annualised_tax_drag,gross_edge_comparator,gross_annual_edge_required_to_clear_costs_and_tax,observed_matched_gross_annual_return,clears_cash_relative_implementation_hurdle
MOM,monthly; first five NSE sessions,previous recorded close NAV; initial funding for first session,6.282621109653507,3.1413105548267537,10920258.22741365,32509.65116961531,710064986.0651379,710064.9860651379,53775.2299258415,21088.93008613459,9230.844818846792,794159.9908959608,951688.9627488684,1745848.953644829,24.63247395812677,24.540974852961913,49.17434285330818,0.010658962087634727,2106526.6958273286,0.0,0.013902684285855171,zero-return cash,0.024561646373489898,0.11318638909282641,True
VM,monthly; first five NSE sessions,previous recorded close NAV; initial funding for first session,4.963693006596072,2.481846503298036,6431331.966485275,17642.966547229506,481463854.51828396,481463.854518284,36453.81503898523,14299.476479193034,6259.030108737692,538476.1761451999,590649.7681857159,1129125.9443309158,23.950623985130953,22.943654144622208,46.9038717542206,0.00910568709774684,1119496.0187750417,0.0,0.009602938624424295,zero-return cash,0.018708625722171135,0.06921891671258851,True
FIX,monthly; first five NSE sessions,previous recorded close NAV; initial funding for first session,4.797057551562267,2.3985287757811333,6617809.000359741,18212.27860473958,495149331.3653227,495149.3313653228,37369.19947684633,14705.935141550086,6436.941307749196,553661.4072914685,611244.2592949067,1164905.666586375,24.163656119609495,22.88099701489806,47.05270078318672,0.008292461248908811,1521259.434375281,0.0,0.011547708121988576,zero-return cash,0.019840169370897387,0.08796710205122604,True
FIXVOL,monthly; first five NSE sessions,previous recorded close NAV; initial funding for first session,5.033024410569844,2.516512205284922,6900590.009028873,19167.221737456035,525772960.0688022,525772.9600688022,39692.771429519584,15615.456914043425,6835.048480894428,587916.2368932597,655451.6247922366,1243367.861685496,24.272137478392253,23.016348385691934,47.296759480471955,0.008647452057815919,1613901.7789039805,0.0,0.0119978962612739,zero-return cash,0.020645348319089818,0.09175290868717445,True
