comparison,accounting_view,difference_cagr,difference_annualised_volatility,difference_sharpe_0pct_cash,difference_max_drawdown,difference_annualised_recurring_gross_turnover,difference_annualised_implementation_cost_drag,difference_annualised_tax_drag,difference_average_realised_equity_exposure
VM minus MOM,executable_after_tax,-0.03811445172891914,-0.06072664989476595,-0.10402009589970568,0.03903936306024669,-1.3189281030574351,-0.0015532749898878873,-0.004299745661430876,-0.3038772798954482
VM minus FIX,executable_after_tax,-0.017616641689911283,0.007314603152642318,-0.1403523614386349,-0.07418722934371569,0.1666354550338056,0.0008132258488380284,-0.0019447694975642804,0.00016159514885094595
VM minus FIXVOL,executable_after_tax,-0.02059726937766726,0.0003736075840816977,-0.1395729147265397,-0.061015197534492804,-0.0693314039737718,0.00045823503993092096,-0.002394957636849604,-0.03148424686974105
