membership_symbol,identity_id,canonical_symbol,aliases,observed_in_prices
AUROPHARMA,ID_e9512b8e7d08,AUROPHARMA,AUROPHARMA,True
AVANTIFEED,ID_009be05039a9,AVANTIFEED,AVANTI;AVANTIFEED,True
AWL,ID_4d1a5a181b2f,AWL,AWL,True
AXISBANK,ID_348a550cc897,AXISBANK,AXISBANK;UTIBANK,True
BAJAJ-AUTO,ID_b1250c007024,BAJAJ-AUTO,BAJAJ-AUTO,True
BAJAJCON,ID_7a45b98e6601,BAJAJCON,BAJAJCON;BAJAJCORP,True
BAJAJELEC,ID_1a21a9feaf8c,BAJAJELEC,BAJAJELEC,True
BAJAJFINSV,ID_f80b18f46e74,BAJAJFINSV,BAJAJFINSV,True
BAJAJHFL,ID_58fef29d28ff,BAJAJHFL,BAJAJHFL,True
BAJAJHIND,ID_c25a60aefacf,BAJAJHIND,BAJAJHIND,True
BAJAJHLDNG,ID_52b80076d686,BAJAJHLDNG,BAJAJAUTO;BAJAJHLDNG,True
BAJFINANCE,ID_ad0e9fbe5350,BAJFINANCE,BAJAUTOFIN;BAJFINANCE,True
BALAMINES,ID_d22b74b99cab,BALAMINES,BALAMINES,True
BALKRISIND,ID_b8500e8662dd,BALKRISIND,BALKRISIND,True
BALLARPUR,ID_fdf3a2b183d0,BALLARPUR,BALLARPUR,True
BALMLAWRIE,ID_9114d343c624,BALMLAWRIE,BALMLAWRIE,True
BALRAMCHIN,ID_ccd093d2a32c,BALRAMCHIN,BALRAMCHIN,True
BANDHANBNK,ID_2ac50d251ab0,BANDHANBNK,BANDHANBNK,True
BANKBARODA,ID_7baff567ace4,BANKBARODA,BANKBARODA,True
BANKINDIA,ID_110424dae006,BANKINDIA,BANKINDIA,True
BASF,ID_e406460795dd,BASF,BASF,True
BATAINDIA,ID_3a3339ec9957,BATAINDIA,BATAINDIA,True
BAYERCROP,ID_956490b42aa7,BAYERCROP,BAYERCROP,True
BBTC,ID_3a3d01778fbe,BBTC,BBTC,True
BCG,ID_ca2b50bcb97d,BCG,BCG;LYCOS,True
BDL,ID_b84820786159,BDL,BDL,True
BEL,ID_a9bd23d3ed70,BEL,BEL,True
BELRISE,ID_11b7881d7ee5,BELRISE,BELRISE,True
BEML,ID_d1008bd3fdd8,BEML,BEML,True
BERGEPAINT,ID_da2dd1a1ab64,BERGEPAINT,BERGEPAINT,True
BFUTILITIE,ID_fdd7d93fd1f6,BFUTILITIE,BFUTILITIE,True
BGRENERGY,ID_566fdf79418e,BGRENERGY,BGRENERGY,True
BHARATFIN,ID_b60d88b2742f,BHARATFIN,BHARATFIN;SKSMICRO,True
BHARATFORG,ID_620fa89a404e,BHARATFORG,BHARATFORG,True
BHARATRAS,ID_e9a517fb114c,BHARATRAS,BHARATRAS,True
BHARTIARTL,ID_fe138d28d712,BHARTIARTL,BHARTI;BHARTIARTL,True
BHARTIHEXA,ID_faee0e59ac7b,BHARTIHEXA,BHARTIHEXA;LIST000857,True
BHEL,ID_4c6427aaff00,BHEL,BHEL,True
BHUSANSTL,ID_320b606d2fc9,TATASTLBSL,BHUSANSTL;TATASTLBSL,True
BIKAJI,ID_50b83ddeb88c,BIKAJI,BIKAJI,True
BIOCON,ID_087fece74d2c,BIOCON,BIOCON,True
BIRLACORPN,ID_a66b969c20d2,BIRLACORPN,BIRLACORPN;BIRLAJUTE,True
BLISSGVS,ID_f236cd4f4c1a,BLISSGVS,BLISSGVS,True
BLS,ID_adf354d28461,BLS,BLS,True
BLUEDART,ID_eb41655421fd,BLUEDART,BLUEDART,True
BLUEJET,ID_4316185db6a5,BLUEJET,BLUEJET,True
BLUESTARCO,ID_26805976fa7c,BLUESTARCO,BLUESTARCO,True
BOMDYEING,ID_a7a6cd76ac0b,BOMDYEING,BOMDYEING,True
BORORENEW,ID_8eff9eb2fb18,BORORENEW,BORORENEW;BOROSIL,True
BOSCHLTD,ID_1d0931e48fdc,BOSCHLTD,BOSCHLTD;MICO,True
BPCL,ID_5189d32a44aa,BPCL,BPCL,True
BRFL,ID_8b13db149d67,BRFL,BRFL,True
BRIGADE,ID_29a71b5924f1,BRIGADE,BRIGADE,True
BRITANNIA,ID_8ceb238c8656,BRITANNIA,BRITANNIA,True
BSE,ID_40d9217efd8b,BSE,BSE,True
BSOFT,ID_1cd7bb84fe66,BSOFT,BSOFT;KPIT,True
CAMLINFINE,ID_d67a69e3d8c3,CAMLINFINE,CAMLINFINE,True
CAMPUS,ID_a3a1cfc6abec,CAMPUS,CAMPUS,True
CAMS,ID_8f715708a2d9,CAMS,CAMS,True
CANBK,ID_679de3c965a8,CANBK,CANBK,True
CANFINHOME,ID_63db80170250,CANFINHOME,CANFINHOME,True
CANHLIFE,ID_759731234a0b,CANHLIFE,CANHLIFE,True
CAPF,ID_78652adf8bdf,CAPF,CAPF;FCH,True
CAPLIPOINT,ID_7b180004ba91,CAPLIPOINT,CAPLIPOINT,True
CARBORUNIV,ID_05fc90479a16,CARBORUNIV,CARBORUNIV,True
CARERATING,ID_7986b6685c0d,CARERATING,CARERATING,True
CARTRADE,ID_af6cfbb24699,CARTRADE,CARTRADE,True
CASTROL,ID_34650da618f8,CASTROL,CASTROL,True
CASTROLIND,ID_2ce8132ad0ca,CASTROLIND,CASTROLIND,True
CCL,ID_c89b4f8aa1e0,CCL,CCL,True
CDSL,ID_542b6c65440c,CDSL,CDSL,True
