membership_symbol,identity_id,canonical_symbol,aliases,observed_in_prices
HONASA,ID_07009110be10,HONASA,HONASA,True
HONAUT,ID_b26a2afae61c,HONAUT,HONAUT;TATAHONEY,True
HOTELEELA,ID_b2ed8120aa63,HLVLTD,HLVLTD;HOTELEELA,True
HSCL,ID_83b2d63b95f3,HSCL,HCIL;HIMADCHEM;HSCL,True
HSIL,ID_f67546415169,AGI,AGI;HINDSANIT;HSIL,True
HTMEDIA,ID_f37b071a8722,HTMEDIA,HTMEDIA,True
HUBTOWN,ID_cf246ecc884f,HUBTOWN,ACKRUTI;AKRUTI;HUBTOWN,True
HUDCO,ID_cb2f1fc5e122,HUDCO,HUDCO,True
HUHTAMAKI,ID_e1eb0e6642bd,HUHTAMAKI,HUHTAMAKI;PAPERPROD,True
HYUNDAI,ID_d6ab95a7d2cd,HYUNDAI,HYUNDAI,True
IBREALEST,ID_cd29f30b1378,EMBDL,EMBDL;IBREALEST,True
IBULISL,ID_62c27a44b44a,IBULLSLTD,IBULISL;IBULLSLTD;IBWSL;SORILHOLD;YAARI;YAARII,True
ICICIAMC,ID_310aca907b35,ICICIAMC,ICICIAMC,True
ICICIBANK,ID_490bc35f0b33,ICICIBANK,ICICIBANK,True
ICICIGI,ID_da8e59ec9285,ICICIGI,ICICIGI,True
ICICIPRULI,ID_d941e440cbdd,ICICIPRULI,ICICIPRULI,True
ICIL,ID_d2b57c25e472,ICIL,ICIL;INDOCOUNT,True
ICRA,ID_1f74542cf968,ICRA,ICRA,True
IDBI,ID_c0c9d5e29dc2,IDBI,IDBI,True
IDEA,ID_2853d1f1c7fb,IDEA,IDEA,True
IDFC,ID_94dd5f5a78a1,IDFC,IDFC,True
IDFCFIRSTB,ID_eb296aa9d788,IDFCFIRSTB,IDFCBANK;IDFCFIRSTB,True
IEX,ID_f8fd4493c052,IEX,IEX,True
IFBIND,ID_6c9dcafa510d,IFBIND,IFBIND,True
IFCI,ID_1cc852cb4a82,IFCI,IFCI,True
IGARASHI,ID_d129babc7819,IGARASHI,CGIGARSH;IGARASHI,True
IGIL,ID_d6b072f17c8e,IGIL,IGIL,True
IGL,ID_b7e5b88c5719,IGL,IGL,True
IIFL,ID_dcdb67a11297,IIFL,IIFL;INDIAINFO,True
IIFLWAM,ID_32da3ac10227,360ONE,360ONE;IIFLWAM,True
IKS,ID_e1525fbdd5fb,IKS,IKS,True
IL&FSENGG,ID_423d1f691f4b,IL&FSENGG,IL&FSENGG;MAYTASINFR,True
IL&FSTRANS,ID_a8608b229c19,IL&FSTRANS,IL&FSTRANS;ILFSTRANS,True
IMFA,ID_5e032674b153,IMFA,IMFA,True
INDGN,ID_1368deff382d,INDGN,INDGN,True
INDHOTEL,ID_2e3ca91d8182,INDHOTEL,INDHOTEL,True
INDIACEM,ID_6305e1def98b,INDIACEM,INDIACEM,True
INDIAGLYCO,ID_4cc93b34b494,INDIAGLYCO,INDIAGLYCO,True
INDIAMART,ID_006e30d4478e,INDIAMART,INDIAMART,True
INDIANB,ID_85958e7712e0,INDIANB,INDIANB,True
INDIGO,ID_697b27b26bd5,INDIGO,INDIGO,True
INDIGOPNTS,ID_da76f849bee6,INDIGOPNTS,INDIGOPNTS,True
INDOCO,ID_db1856a01880,INDOCO,INDOCO,True
INDOSTAR,ID_de8fad0e5af0,INDOSTAR,INDOSTAR,True
INDRAMEDCO,ID_665aca21b1c8,INDRAMEDCO,INDRAMEDCO,True
INDUSINDBK,ID_aa40c3dd555a,INDUSINDBK,INDUSINDBK,True
INDUSTOWER,ID_ecbefb8dc214,INDUSTOWER,INDUSTOWER;INFRATEL,True
INFIBEAM,ID_6eea1b7380e6,CCAVENUE,CCAVENUE;INFIBEAM,True
INFINITE,ID_e5e4713ba8f4,INFINITE,INFINITE,True
INFY,ID_687a5e736573,INFY,INFOSYSTCH;INFY,True
INGERRAND,ID_77fbefd0b8d2,INGERRAND,INGERRAND,True
INNOIND,ID_fd79d6d51e9f,INNOIND,INNOIND,True
INOXINDIA,ID_9d6f73b71092,INOXINDIA,INOXINDIA,True
INOXLEISUR,ID_548dc635e42e,INOXLEISUR,INOXLEISUR,True
INOXWIND,ID_49d7db342974,INOXWIND,INOXWIND,True
INTELLECT,ID_785d1cff766f,INTELLECT,INTELLECT,True
IOB,ID_e3fe61779a8d,IOB,IOB,True
IOC,ID_d43789d4bdc0,IOC,IOC,True
IOLCP,ID_da700ea25ec2,IOLCP,IOLCP,True
IPAPPM,ID_52dc955f314b,ANDHRAPAP,ANDHRAPAP;ANDPAPER;APPAPER;IPAPPM,True
IPCALAB,ID_5a7e52e40f8c,IPCALAB,IPCALAB,True
IRB,ID_97a8061e3a74,IRB,IRB,True
IRCON,ID_96a84089eebd,IRCON,IRCON,True
IRCTC,ID_900e16bf5de4,IRCTC,IRCTC,True
IREDA,ID_568295f226a2,IREDA,IREDA,True
IRFC,ID_e42dd76d78f7,IRFC,IRFC,True
ISEC,ID_5e2e1eac79c6,ISEC,ISEC,True
ITC,ID_5c1f3ff8ea88,ITC,ITC,True
ITCHOTELS,ID_701625af0e81,ITCHOTELS,ITCHOTELS,True
ITDC,ID_b21602e070ed,ITDC,ITDC,True
ITDCEM,ID_1b38d024fbc6,CEMPRO,CEMPRO;ITDCEM;TRAFALHSE,True
ITI,ID_999a0acda4a9,ITI,ITI,True
J&KBANK,ID_247854a61048,J&KBANK,J&KBANK,True
JAGRAN,ID_5cc282bc59d4,JAGRAN,JAGRAN,True
JAIBALAJI,ID_8ff245c14aa2,JAIBALAJI,BALASPONGE;JAIBALAJI,True
JAICORPLTD,ID_3568d9876f92,JAICORPLTD,JAICORPLTD,True
JAINREC,ID_9dcfd13084e0,JAINREC,JAINREC,True
JAMNAAUTO,ID_3039ba0f33ea,JAMNAAUTO,JAMNAAUTO,True
JBCHEPHARM,ID_518895ae4d30,JBCHEPHARM,JBCHEPHARM,True
JBFIND,ID_30d0d09a4f44,JBFIND,JBFIND,True
JBMA,ID_f94f32ffd0ba,JBMA,JBMA;JBMAUTOCOM,True
JCHAC,ID_63fba827452e,BOSCH-HCIL,AMTREXAPPL;BOSCH-HCIL;HITACHIHOM;JCHAC,True
JETAIRWAYS,ID_40879feb0fc3,JETAIRWAYS,JETAIRWAYS,True
JINDALPOLY,ID_6be0cf55cbed,JINDALPOLY,JINDALPOLY,True
JINDALSAW,ID_7e320533bb07,JINDALSAW,JINDALSAW;SAWPIPES,True
JINDALSTEL,ID_fb17e582be53,JINDALSTEL,JINDALSTEL,True
JINDWORLD,ID_05dfd7d4f4e6,JINDWORLD,JINDWORLD,True
JIOFIN,ID_8393d59262e1,JIOFIN,JIOFIN,True
JISLJALEQS,ID_cd22ed10b93e,JISLJALEQS,JISLJALEQS,True
JKCEMENT,ID_13676eb2f9b1,JKCEMENT,JKCEMENT,True
JKIL,ID_1e1f4d7cd3e3,JKIL,JKIL,True
JKLAKSHMI,ID_b4782eb614f4,JKLAKSHMI,JKLAKSHMI,True
JKPAPER,ID_1403505249bb,JKPAPER,JKPAPER,True
JKTYRE,ID_c2f74ff3184d,JKTYRE,JKTYRE,True
JMFINANCIL,ID_a4798e84815c,JMFINANCIL,JMFINANCIL,True
JMTAUTOLTD,ID_dae551fbd22d,JMTAUTOLTD,JMTAUTOLTD,True
JPASSOCIAT,ID_a7cc1938430b,JPASSOCIAT,JPASSOCIAT,True
JPINFRATEC,ID_e8788dde4e99,JPINFRATEC,JPINFRATEC,True
JPPOWER,ID_9801ada2bc04,JPPOWER,JPHYDRO;JPPOWER,True
JSL,ID_4297175d0fa5,JSL,JSL;JSTAINLESS,True
JSLHISAR,ID_092448b1cc27,JSLHISAR,JSLHISAR,True
JSWCEMENT,ID_1e67090bb420,JSWCEMENT,JSWCEMENT,True
JSWDULUX,ID_9accd988c0ac,JSWDULUX,AKZOINDIA;ICI;JSWDULUX,True
JSWENERGY,ID_b2e85a89bc29,JSWENERGY,JSWENERGY,True
JSWHL,ID_3f281cfcbae6,JSWHL,JINDALSWHL;JSWHL,True
JSWINFRA,ID_74dae29c086d,JSWINFRA,JSWINFRA,True
JSWSTEEL,ID_0eefe4737b38,JSWSTEEL,JSWSTEEL;JSWSTL,True
JTEKTINDIA,ID_5e20f9be11bf,JTEKTINDIA,JTEKTINDIA;SONASTEER,True
JUBLFOOD,ID_05096473b5dc,JUBLFOOD,JUBLFOOD,True
JUBLINGREA,ID_003b3e2c7f45,JUBLINGREA,JUBLINGREA,True
JUBLPHARMA,ID_7ea6b1724de5,JUBLPHARMA,JUBILANT;JUBLPHARMA;VAMORGANIC,True
JUSTDIAL,ID_b6dbe42054a5,JUSTDIAL,JUSTDIAL,True
JWL,ID_63e5d84759bc,JWL,CEBBCO;JWL,True
JYOTHYLAB,ID_3652e387c12c,JYOTHYLAB,JYOTHYLAB,True
JYOTICNC,ID_de19fa95db83,JYOTICNC,JYOTICNC,True
KAJARIACER,ID_f765d446282d,KAJARIACER,KAJARIACER,True
KALYANKJIL,ID_b8720b31f532,KALYANKJIL,KALYANKJIL,True
KANSAINER,ID_10ee255dbb99,KANSAINER,GOODLASNER;KANSAINER,True
KARURVYSYA,ID_bf2baebc29a5,KARURVYSYA,KARURVYSYA,True
KAYNES,ID_7483ae52a4f9,KAYNES,KAYNES,True
KEC,ID_8c523f3dfcd6,KEC,KEC,True
KEI,ID_cbde2923c1e8,KEI,KEI,True
KENNAMET,ID_cc368ee99552,KENNAMET,KENNAMET;WIDIA,True
KESORAMIND,ID_d8b47021eaee,KESORAMIND,KESORAMIND,True
KFINTECH,ID_dd1787884e71,KFINTECH,KFINTECH,True
KGL,ID_80f2a6270098,KGL,KGL;KNL,True
KIMS,ID_17e459cdbea8,KIMS,KIMS,True
KIOCL,ID_fa3ae3f1ba67,KIOCL,KIOCL,True
KIRLFER,ID_a31ee5302d9e,KIRLFER,KIRLFER,True
KIRLOSBROS,ID_9e7323d860dd,KIRLOSBROS,KIRLOSBROS,True
KIRLOSENG,ID_2c5b63ce58e6,KIRLOSENG,KIRLOSENG,True
KITEX,ID_112c85920f23,KITEX,KITEX,True
KNRCON,ID_9647639e47b9,KNRCON,KNRCON,True
KOLTEPATIL,ID_dac0340f54b9,KOLTEPATIL,KOLTEPATIL,True
KOTAKBANK,ID_2dd54ad46329,KOTAKBANK,KOTAKBANK;KOTAKMAH,True
KPIL,ID_15baa1dd8401,KPIL,KALPATPOWR;KPIL,True
KPIT,ID_1cd7bb84fe66,BSOFT,BSOFT;KPIT,True
KPITTECH,ID_37df44fe1efc,KPITTECH,KPITTECH,True
KPRMILL,ID_7d25aa56bf1d,KPRMILL,KPRMILL,True
KRBL,ID_abae62489396,KRBL,KRBL,True
KSB,ID_be03ff2bf01a,KSB,KSB;KSBPUMPS,True
KSBPUMPS,ID_be03ff2bf01a,KSB,KSB;KSBPUMPS,True
KSCL,ID_52d52cd9df98,KSCL,KSCL,True
KTKBANK,ID_e0e47cc4ee71,KTKBANK,KTKBANK,True
KWALITY,ID_c26d4e70361e,KWALITY,KWALITY,True
LAKSHVILAS,ID_16f7d297e135,LAKSHVILAS,LAKSHVILAS,True
LALPATHLAB,ID_96dabc83a5fd,LALPATHLAB,LALPATHLAB,True
LAOPALA,ID_8a1a6448f746,LAOPALA,LAOPALA,True
LATENTVIEW,ID_4a8de2432ae9,LATENTVIEW,LATENTVIEW,True
LAURUSLABS,ID_ec826a293101,LAURUSLABS,LAURUSLABS,True
LAXMIMACH,ID_6656e563884a,LMW,LAXMIMACH;LMW,True
LEMONTREE,ID_b95d8e43d2a4,LEMONTREE,LEMONTREE,True
LENSKART,ID_c605c678f510,LENSKART,LENSKART,True
LGBBROSLTD,ID_faa330218aac,LGBBROSLTD,LGBBROSLTD,True
LGEINDIA,ID_22bcbb78b4fd,LGEINDIA,LGEINDIA,True
LICHSGFIN,ID_08829af2272d,LICHSGFIN,LICHSGFIN,True
LICI,ID_63c234b858e7,LICI,LICI,True
LINDEINDIA,ID_f0fae6db3119,LINDEINDIA,BOC;IOL;LINDEINDIA,True
LITL,ID_396a7a368310,LITL,LITL,True
LLOYDSME,ID_e9281175870f,LLOYDSME,LLOYDSME,True
LODHA,ID_228d0759799c,LODHA,LODHA,True
LOVABLE,ID_c838076d93dc,LOVABLE,LOVABLE,True
LT,ID_6c62fb7313eb,LT,LT,True
LTF,ID_d74c65303885,LTF,L&TFH;LTF,True
LTFOODS,ID_8eb1f826af9c,LTFOODS,DAAWAT;LTFOODS,True
LTM,ID_e5faa79232c4,LTM,LTI;LTIM;LTM,True
LTTS,ID_e0172df37d74,LTTS,LTTS,True
LUPIN,ID_3d32141b3cc3,LUPIN,LUPIN,True
LUXIND,ID_af2bd27a3766,LUXIND,LUXIND,True
LXCHEM,ID_fb6d452cda9b,LXCHEM,LXCHEM,True
M&M,ID_f79f23fd998b,M&M,M&M,True
M&MFIN,ID_13dcaf499c02,M&MFIN,M&MFIN,True
MAGMA,ID_faa8c4b55664,POONAWALLA,MAGMA;POONAWALLA,True
MAHABANK,ID_741fded03720,MAHABANK,MAHABANK,True
MAHINDCIE,ID_8d983b8f10bd,CIEINDIA,CIEINDIA;MAHINDCIE;MAHINDFORG,True
MAHINDUGIN,ID_66c9c9cf2068,MAHINDUGIN,MAHINDUGIN,True
MAHLIFE,ID_0188ab2adba0,MAHLIFE,GESCOCORP;MAHLIFE,True
MAHLOG,ID_ebc1a5960d5f,MAHLOG,MAHLOG,True
MAHSCOOTER,ID_54cbb93c8b04,MAHSCOOTER,MAHSCOOTER,True
MAHSEAMLES,ID_34f5e45210b7,MAHSEAMLES,MAHSEAMLES,True
MANAPPURAM,ID_3d67b464c6ae,MANAPPURAM,MANAPPURAM,True
MANDHANA,ID_58e2ba8682d5,MANDHANA,MANDHANA,True
MANGCHEFER,ID_9b9decedfadf,MANGCHEFER,MANGCHEFER,True
MANINFRA,ID_854e716cdacc,MANINFRA,MANINFRA,True
MANKIND,ID_dfe3f39eca3d,MANKIND,MANKIND,True
MANPASAND,ID_b623d8d68841,MANPASAND,MANPASAND,True
MANYAVAR,ID_ec37d4cf7809,MANYAVAR,MANYAVAR,True
MAPMYINDIA,ID_7ca988a1bbb1,MAPMYINDIA,MAPMYINDIA,True
MARICO,ID_b37e6e84dab3,MARICO,MARICO;MARICOIND,True
MARKSANS,ID_896bc06175fa,MARKSANS,MARKSANS;TASCPHARMA,True
MARUTI,ID_2d34879c69cc,MARUTI,MARUTI,True
MASFIN,ID_c1451fbe69ad,MASFIN,MASFIN,True
MASTEK,ID_a000aa7471cb,MASTEK,MASTEK,True
MAX,ID_5eb014269ed3,MFSL,MAX;MFSL,True
MAXHEALTH,ID_d8c043a7be16,MAXHEALTH,MAXHEALTH,True
MAXINDIA,ID_954669728f32,MAXINDIA,MAXINDIA,True
MAYURUNIQ,ID_90393512dd03,MAYURUNIQ,MAYURUNIQ,True
MAZDOCK,ID_bb9355555582,MAZDOCK,MAZDOCK,True
MCDOWELL-N,ID_5acd2580c770,UNITDSPR,MCDOWELL-N;UNITDSPR,True
MCLEODRUSS,ID_af01c8e8a14a,MCLEODRUSS,MCLEODRUSS,True
MCX,ID_1159c3e755c6,MCX,MCX,True
MEDANTA,ID_aec8f5208d76,MEDANTA,MEDANTA,True
MEDPLUS,ID_490e0c14f69e,MEDPLUS,MEDPLUS,True
MEESHO,ID_4b12dc602356,MEESHO,MEESHO,True
METALFORGE,ID_d0234cc03a0c,METALFORGE,AHMEDFORGE;METALFORGE,True
METROBRAND,ID_461af695762e,METROBRAND,METROBRAND,True
METROPOLIS,ID_d8b7041b0a70,METROPOLIS,METROPOLIS,True
MFL,ID_2153424d21f4,EPIGRAL,EPIGRAL;MFL,True
MFSL,ID_5eb014269ed3,MFSL,MAX;MFSL,True
MGL,ID_3899f8a77bd2,MGL,MGL,True
MHRIL,ID_066c49695bbd,MHRIL,MHRIL,True
MIDHANI,ID_a819d17ad3dc,MIDHANI,MIDHANI,True
MINDACORP,ID_e7573de4c99e,MINDACORP,MINDACORP,True
MMTC,ID_5305789515dc,MMTC,MMTC,True
MOIL,ID_c7a73b35489a,MOIL,MOIL,True
MONNETISPA,ID_0a9fab71171b,MONNETISPA,MONNETISPA,True
MONSANTO,ID_e1be1ed0d560,MONSANTO,MONSANTO,True
MOTHERSON,ID_9554e179157a,MOTHERSON,MOTHERSON;MOTHERSUMI,True
MOTILALOFS,ID_e21ca0bb0caf,MOTILALOFS,MOTILALOFS,True
MPHASIS,ID_c038a97f7e0a,MPHASIS,BFLSOFTWAR;MPHASIS;MPHASISBFL,True
MRF,ID_981e9af099cd,MRF,MRF,True
MRPL,ID_dc80950042e4,MRPL,MRPL,True
MTARTECH,ID_8db808ef3dd4,MTARTECH,MTARTECH,True
MTNL,ID_4996b2c55c8b,MTNL,MTNL,True
MUNJALSHOW,ID_3ce30b282666,MUNJALSHOW,MUNJALSHOW,True
MUTHOOTFIN,ID_a68bfc78009b,MUTHOOTFIN,MUTHOOTFIN,True
NAM-INDIA,ID_d07f9139a771,NAM-INDIA,NAM-INDIA;RNAM,True
NATCOPHARM,ID_7b9f31c1f4e7,NATCOPHARM,NATCOPHARM,True
NATIONALUM,ID_753f2a8c5c90,NATIONALUM,NATIONALUM,True
NAUKRI,ID_2795346bb0b7,NAUKRI,NAUKRI,True
NAVA,ID_a69e0873f10f,NAVA,NAVA;NAVBARFERO;NBVENTURES,True
NAVINFLUOR,ID_8a6b678e42ae,NAVINFLUOR,NAVINFLUOR,True
NAVKARCORP,ID_361d9ddc59b9,NAVKARCORP,NAVKARCORP,True
NAVNETEDUL,ID_cb04e845e2ba,NAVNETEDUL,NAVNETEDUL;NAVNETPUBL,True
NAZARA,ID_188ae5e5177b,NAZARA,NAZARA,True
NBCC,ID_d0235befffc6,NBCC,NBCC,True
NBVENTURES,ID_a69e0873f10f,NAVA,NAVA;NAVBARFERO;NBVENTURES,True
NCC,ID_845ca59da882,NCC,NAGARCONST;NCC,True
NDTV,ID_3b3fc92363aa,NDTV,NDTV,True
NESCO,ID_cbba0c9b29dc,NESCO,NESCO,True
NESTLEIND,ID_defdf982c545,NESTLEIND,NESTLEIND,True
NETWEB,ID_2d30084573c6,NETWEB,NETWEB,True
NETWORK18,ID_e07ca64bf386,NETWORK18,NETWORK18,True
NEULANDLAB,ID_c8a0c5510130,NEULANDLAB,NEULANDLAB,True
NEWGEN,ID_b4923c15b784,NEWGEN,NEWGEN,True
NFL,ID_11935e1e2233,NFL,NFL,True
NH,ID_397224a16e04,NH,NH,True
NHPC,ID_9b8a78f5d865,NHPC,NHPC,True
NIACL,ID_09d513cc914e,NIACL,NIACL,True
NIITLTD,ID_c039d9e9f487,NIITLTD,NIITLTD,True
NILKAMAL,ID_69f1df9edd5c,NILKAMAL,NILKAMAL;NILKAMPLST,True
NITINFIRE,ID_cf31b2a90f51,NITINFIRE,NITINFIRE,True
NIVABUPA,ID_e84c4c2b366c,NIVABUPA,NIVABUPA,True
NLCINDIA,ID_4a411347b740,NLCINDIA,NEYVELILIG;NLCINDIA,True
NMDC,ID_41bad6dbd7ea,NMDC,NMDC,True
NOCIL,ID_b22af8b44ed6,NOCIL,NOCIL,True
NSLNISP,ID_514cd1f19c33,NSLNISP,NSLNISP,True
NTPC,ID_a9a723d5a409,NTPC,NTPC,True
NTPCGREEN,ID_932eea76c415,NTPCGREEN,NTPCGREEN,True
NUVAMA,ID_e1b6634d05c1,NUVAMA,NUVAMA,True
NUVOCO,ID_1be65134aac9,NUVOCO,NUVOCO,True
NYKAA,ID_941a2627402e,NYKAA,NYKAA,True
OBEROIRLTY,ID_72b560577bc0,OBEROIRLTY,OBEROIREAL;OBEROIRLTY,True
OCL,ID_b8e7ef26902c,OCL,OCL;ORISSACEM,True
OFSS,ID_6667a8e29187,OFSS,I-FLEX;OFSS,True
OIL,ID_5b3c6059f6e0,OIL,OIL,True
OLAELEC,ID_efcf71e26960,OLAELEC,OLAELEC,True
OLECTRA,ID_64bacbd30347,OLECTRA,GOLDINFRA;GOLDTELE;OLECTRA,True
OMAXE,ID_924fe8a674d6,OMAXE,OMAXE,True
ONESOURCE,ID_d55151b89591,ONESOURCE,ONESOURCE,True
ONGC,ID_a0e6458d566f,ONGC,ONGC,True
ORBITCORP,ID_e264af0c503b,ORBITCORP,ORBITCORP,True
ORCHIDCHEM,ID_89eead792e90,ORCHIDPHAR,ORCHIDCHEM;ORCHIDPHAR,True
ORIENTBANK,ID_d8ab62ddfb05,ORIENTBANK,ORIENTBANK,True
ORIENTCEM,ID_0d5deca75ba5,ORIENTCEM,ORIENTCEM,True
ORIENTELEC,ID_03d6b88a3213,ORIENTELEC,ORIENTELEC,True
ORIENTREF,ID_83c23e08a828,RHIM,ORIENTREF;RHIM,True
ORISSAMINE,ID_6eb064b6ae11,ORISSAMINE,ORISSAMINE,True
PAGEIND,ID_ffee1b259c82,PAGEIND,PAGEIND,True
PAPERPROD,ID_e1eb0e6642bd,HUHTAMAKI,HUHTAMAKI;PAPERPROD,True
PARADEEP,ID_6885b891adbb,PARADEEP,PARADEEP,True
PARAGMILK,ID_9c7e5fc2cf40,PARAGMILK,PARAGMILK,True
PATANJALI,ID_cde158d141f7,PATANJALI,PATANJALI;RUCHI,True
PAYTM,ID_3a50277ebad0,PAYTM,PAYTM,True
PCBL,ID_41c9b85255f8,PCBL,PCBL;PHILIPCARB,True
PCJEWELLER,ID_be12febb056a,PCJEWELLER,PCJEWELLER,True
PEL,ID_76be61e84d56,PEL,NICOLASPIR;PEL;PIRHEALTH,True
PENIND,ID_b629feedb8f9,PENIND,PENIND,True
PERSISTENT,ID_f28826400c9d,PERSISTENT,PERSISTENT,True
PETRONET,ID_6dff5ea7a180,PETRONET,PETRONET,True
PFC,ID_53b1dd88eddc,PFC,PFC,True
PFIZER,ID_1d995e6f3591,PFIZER,PFIZER,True
PFOCUS,ID_15010539315b,PFOCUS,PFOCUS,True
PFS,ID_5160676092e1,PFS,PFS,True
PGEL,ID_5cdf772787de,PGEL,PGEL,True
PGHH,ID_7cbbb0bd0e38,PGHH,P&G;PGHH,True
PGHL,ID_348ed10e52a4,PGHL,EMERCK;MERCK;PGHL,True
PHILIPCARB,ID_41c9b85255f8,PCBL,PCBL;PHILIPCARB,True
PHOENIXLTD,ID_337c34effa0b,PHOENIXLTD,PHOENIXLTD,True
PIDILITIND,ID_71ba3694dab9,PIDILITIND,PIDILITIND,True
PIIND,ID_ab4b566d1ffa,PIIND,PIIND,True
PINELABS,ID_6989f9a22e0e,PINELABS,PINELABS,True
PIRAMALFIN,ID_142a92f7b61f,PIRAMALFIN,PIRAMALFIN,True
PNB,ID_a1c7cbc7d8e4,PNB,PNB,True
PNBHOUSING,ID_298763b2a125,PNBHOUSING,PNBHOUSING,True
PNCINFRA,ID_2a3066015f10,PNCINFRA,PNCINFRA,True
POLARIS,ID_d23bf42d639f,POLARIS,POLARIS,True
POLICYBZR,ID_df4c97772cfb,POLICYBZR,POLICYBZR,True
POLYCAB,ID_6532279ce980,POLYCAB,POLYCAB,True
POLYMED,ID_755437f3137c,POLYMED,POLYMED,True
POLYPLEX,ID_1c6fe50675b6,POLYPLEX,POLYPLEX,True
POONAWALLA,ID_faa8c4b55664,POONAWALLA,MAGMA;POONAWALLA,True
POWERGRID,ID_4496553c61e8,POWERGRID,POWERGRID,True
POWERINDIA,ID_4ad37590d21f,POWERINDIA,POWERINDIA,True
PPLPHARMA,ID_fc5e2f0e4314,PPLPHARMA,PPLPHARMA,True
PRAJIND,ID_57e36a055816,PRAJIND,PRAJIND,True
PREMIERENE,ID_a6e660f065ec,PREMIERENE,PREMIERENE,True
PRESTIGE,ID_92dc21be7bef,PRESTIGE,PRESTIGE,True
PRINCEPIPE,ID_fb2a6cd7e317,PRINCEPIPE,PRINCEPIPE,True
PRIVISCL,ID_9ea8c5ec7084,PRIVISCL,ADI;FAIRCHEM;PRIVISCL,True
PSL,ID_dfeb7c978f88,PSL,PSL;PSLHOLD,True
PSPPROJECT,ID_62216aaf355a,PSPPROJECT,PSPPROJECT,True
PTC,ID_21001dd759eb,PTC,PTC,True
PTCIL,ID_1f341e8deecc,PTCIL,PTCIL,True
PUNJLLOYD,ID_684450f8d2fc,PUNJLLOYD,PUNJLLOYD,True
PVRINOX,ID_cbe176bb82be,PVRINOX,PVR;PVRINOX,True
PWL,ID_61ced4b82a60,PWL,PWL,True
QUESS,ID_e70c2e25ceb6,QUESS,QUESS,True
RADICO,ID_11ba4162376d,RADICO,RADICO,True
RAILTEL,ID_bdbbb9255252,RAILTEL,RAILTEL,True
RAIN,ID_8268095c6f07,RAIN,PRIYADCEM;RAIN;RAINCOM,True
RAINBOW,ID_f70baf6ae73e,RAINBOW,RAINBOW,True
RAJESHEXPO,ID_e873095b1ae0,RAJESHEXPO,RAJESHEXPO,True
RAJTV,ID_e9d02517a64f,RAJTV,RAJTV,True
RALLIS,ID_d9fa3b8b20a2,RALLIS,RALLIS,True
RAMCOCEM,ID_e6063de4247b,RAMCOCEM,MADRASCEM;RAMCOCEM,True
RAMCOIND,ID_c5ad939ca6bc,RAMCOIND,RAMCOIND,True
RAMCOSYS,ID_8dcae1e4bdf0,RAMCOSYS,RAMCOSYS,True
RASOYPR,ID_703486804923,RASOYPR,RASOYPR,True
RATNAMANI,ID_da36840896b6,RATNAMANI,RATNAMANI,True
RAYMOND,ID_33eefd0ea48c,RAYMOND,RAYMOND,True
RAYMONDLSL,ID_669e69bb2492,RAYMONDLSL,RAYMONDLSL,True
RBA,ID_a811e2bfcf12,RBA,BURGERKING;RBA,True
RBLBANK,ID_e2255089fb79,RBLBANK,RBLBANK,True
RCF,ID_58d6dddb30eb,RCF,RCF,True
RCOM,ID_e1916ab9b919,RCOM,RCOM;RCVL,True
RECLTD,ID_8a412543e051,RECLTD,RECLTD,True
REDINGTON,ID_8ddeb3fe6361,REDINGTON,REDINGTON,True
REIAGROLTD,ID_038ef635793f,REIAGROLTD,REIAGROLTD,True
RELAXO,ID_dcb81c60d88a,RELAXO,RELAXO,True
RELCAPITAL,ID_3cfafcd48882,RELCAPITAL,RELCAPITAL,True
RELIANCE,ID_bb349888bddc,RELIANCE,RELIANCE,True
RELIGARE,ID_a7d3cccc7b0a,RELIGARE,RELIGARE,True
RELINFRA,ID_407b5689be0f,RELINFRA,BSES;REL;RELINFRA,True
RENUKA,ID_8218a77753ce,RENUKA,RENUKA,True
REPCOHOME,ID_09f9973c8ead,REPCOHOME,REPCOHOME,True
RESPONIND,ID_09bbcc52643a,RESPONIND,RESPONIND,True
RHFL,ID_9a24fe5009d2,RHFL,RHFL,True
RHIM,ID_83c23e08a828,RHIM,ORIENTREF;RHIM,True
RICOAUTO,ID_23ce83334ac0,RICOAUTO,RICOAUTO,True
RIIL,ID_1ac68232d43c,RIIL,RIIL,True
RITES,ID_c5a9fda4311b,RITES,RITES,True
RKFORGE,ID_efffca9feb49,RKFORGE,RKFORGE,True
RNAVAL,ID_59666f271ec0,RNAVAL,PIPAVAVDOC;PIPAVAVYD;RDEL;RNAVAL,True
ROLTA,ID_f3940260948a,ROLTA,ROLTA,True
ROSSARI,ID_31a4c984e953,ROSSARI,ROSSARI,True
ROUTE,ID_013d73e53028,ROUTE,ROUTE,True
RPOWER,ID_4cdc9f4388b5,RPOWER,RPOWER,True
RRKABEL,ID_1bc40f96adc1,RRKABEL,RRKABEL,True
RTNINDIA,ID_510901eb5cb8,RTNINDIA,IBIPL;RTNINDIA;RTNINFRA,True
RTNPOWER,ID_92ff2e671ef5,RTNPOWER,IBPOW;RTNPOWER,True
RUCHISOYA,ID_2ab56bae7572,RUCHISOYA,RUCHISOYA,True
RUPA,ID_0575d9f022b3,RUPA,RUPA,True
RUSTOMJEE,ID_ba4f8a6213c0,RUSTOMJEE,RUSTOMJEE,True
