company_name,old_symbol,new_symbol,effective_date
Arihant Academy Limited,AAL,ARIHANTACA,2023-01-02
Arisinfra Solutions Limited,ARISINFRA,ARIS,2026-02-09
Arrow Greentech Limited,ARROWCOAT,ARROWGREEN,2016-05-11
Arvind Limited,ARVINDMILL,ARVIND,2008-07-07
Arvind SmartSpaces Limited,ARVINFRA,ARVSMART,2016-12-05
Ashika Global Securities Limited,ASHIKA,ASHIKAG,2026-07-27
AstraZeneca Pharma India Limited,ASTRAIDL,ASTRAZEN,2007-04-10
Atcom Technologies Limited,ATCOIND,ATCOM,2004-04-29
Atul Limited,ATULPROD,ATUL,2005-03-10
Auri Grow India Limited,GODHA,AURIGROW,2025-10-17
Aurum PropTech Limited,MAJESCO,AURUM,2021-10-22
Ausom Enterprise Limited,COREBIO,COREEMBLG,2001-10-15
Ausom Enterprise Limited,COREEMBLG,AUSOMENT,2009-12-01
Automotive Stampings and Assemblies Limited,JBMT,ASAL,2003-10-14
Aventus Buildcon Limited,RATNAINFRA,AVENTUS,2017-08-03
AvenuesAI Limited,INFIBEAM,CCAVENUE,2026-02-03
Axis BSE SENSEX ETF,AXSENSEX,SENSEXAXIS,2026-07-03
Axis Bank Limited,UTIBANK,AXISBANK,2007-08-16
Axis Mutual Fund - Axis Gold ETF,AXISGOLD,GOLDAXIS,2026-07-03
Axis Mutual Fund - Axis Nifty500 Value 50 ETF,AXISVALUE,VALUEAXIS,2026-07-03
Axis Mutual Fund - Axis Silver ETF,AXISILVER,SILVERAXIS,2026-07-03
Aztecsoft Limited,AZTEC,AZTECSOFT,2006-09-20
BALAXI PHARMACEUTICALS LIMITED,ANANDAMRUB,BALAXI,2017-09-27
BIL VYAPAR LIMITED,BINANIIND,BILVYAPAR,2025-07-14
BIRLASOFT LIMITED,KPIT,BSOFT,2019-02-26
BOROSIL RENEWABLES LIMITED,BOROSIL,BORORENEW,2020-02-20
BOSCH HOME COMFORT INDIA LIMITED,JCHAC,BOSCH-HCIL,2025-12-24
BS Limited,BSTRANSCOM,BSLIMITED,2012-11-29
BSEL Infrastructure Realty Limited,BSELINFO,BSELINFRA,2004-03-12
Baba Agro Food Limited,SKML,BABAFOOD,2019-05-27
Bajaj Consumer Care Limited,BAJAJCORP,BAJAJCON,2019-01-15
Bajaj Finance Limited,BAJAUTOFIN,BAJFINANCE,2010-09-29
Bajaj Holdings & Investment Limited,BAJAJAUTO,BAJAJHLDNG,2008-03-14
Balkrishna Paper Mills Limited,NIRVIKARA,BALKRISHNA,2016-09-06
Banco Products (I) Limited,BANCOPROD,BANCOINDIA,2006-12-22
Bhagyanagar India Limited,BAGYAMETAL,BHAGYNAGAR,2006-09-12
Bhansali Engineering Polymers Limited,BHANSALENG,BEPL,2005-03-21
Bharat Bijlee Limited,BARATBIJLE,BBL,2006-11-21
Bharat Financial Inclusion Limited,SKSMICRO,BHARATFIN,2016-07-01
Bharati Defence and Infrastructure Limited,BHARTISHIP,BHARATIDIL,2016-02-26
Bharti Airtel Limited,BHARTI,BHARTIARTL,2006-06-19
Bharti Hexacom Limited,LIST000857,BHARTIHEXA,2024-04-08
Birla Cable Limited,BIRLAERIC,BIRLACABLE,2016-09-26
Birla Corporation Limited,BIRLAJUTE,BIRLACORPN,2008-07-28
Birla Power Solutions Limited,BIRLAYAMAH,BIRLAPOWER,2007-06-06
BirlaNu Limited,HIL,BIRLANU,2025-04-09
Bkm Industries Limited,MANAKINDST,BKMINDST,2017-11-23
Black Box Limited,AVAYAGCL,AGCNET,2010-06-08
Black Box Limited,AGCNET,BBOX,2021-12-03
Black Box Limited,TATATELECM,AVAYAGCL,2004-11-01
Blue Coast Hotels Limited,MOREPENHTL,BLUECOAST,2006-12-05
Bosch Chassis Systems India Limited,KALYANBRAK,BOSCHCHASY,2006-02-10
Bosch Limited,MICO,BOSCHLTD,2008-02-28
Brabourne Enterprises Limited,RPGLS,BRABOURNE,2008-03-14
Brabourne Enterprises Limited,SEARLEIND,RPGLS,2006-12-05
Brightcom Group Limited,LYCOS,BCG,2018-10-08
CARYSIL LIMITED,ACRYSIL,CARYSIL,2022-11-18
CARYSIL LIMITED,1201210518,ACRYSIL,2021-01-12
CG Power and Industrial Solutions Limited,CROMPGREAV,CGPOWER,2017-03-08
CIE Automotive India Limited,MAHINDCIE,CIEINDIA,2023-06-19
CLC Industries Limited,SPENTEX,CLCIND,2026-01-01
CORE Education & Technologies Limited,COREPROTEC,COREEDUTEC,2011-09-07
COSMO FIRST LIMITED,COSMOFILMS,COSMOFIRST,2022-07-25
CP Capital Limited,CAREERP,CPCAP,2025-03-20
CRESTO TECHNO LIMITED,SILLYMONKS,CRESTO,2026-09-10
Capital First Limited,FCH,CAPF,2012-12-06
Capri Global Capital Limited,MMFSL,CGCL,2013-08-05
Career Point Limited,CPIL,CAREERP,2011-11-16
Carol Info Services Limited,WOCKLIFE,CAROLINFO,2004-09-27
Castex Technologies Limited,AMTEKINDIA,CASTEXTECH,2015-06-11
Cemindia Projects Limited,ITDCEM,CEMPRO,2025-09-17
Centurion Bank of Punjab Limited,CENBNK,CENTBOP,2005-12-06
Chembond Chemicals Limited,CHEMBONDIN,CHEMBONDCH,2025-07-21
Chennai Petroleum Corporation Limited,MADRASREFN,CHENNPETRO,2000-08-09
Chettinad Cement Corporation Limited,CHETNADCEM,CHETTINAD,2007-05-17
Cholamandalam Financial Holdings Limited,TIFIN,CHOLAHLDNG,2019-04-09
Cholamandalam Investment and Finance Company Limited,CHOLADBS,CHOLAFIN,2010-06-22
Cholamandalam Investment and Finance Company Limited,CHOLAINV,CHOLADBS,2006-06-01
Cineline India Limited,CINEPRO,CINELINE,2013-08-23
Clariant Chemicals (India) Limited,COLORCHEM,CLNINDIA,2006-06-05
Coforge Limited,NIITTECH,COFORGE,2020-08-20
Cohance Lifesciences Limited,SUVENPHAR,COHANCE,2025-05-19
Coral Hub Limited,VITLINFO,CORALHUB,2010-07-26
Coromandel International Limited,COROMNFERT,COROMANDEL,2009-10-12
Country Condo's Limited,NEOCURE,COUNCODOS,2012-08-31
Creative Newtech Limited,CREATIVE,CNL,2025-12-10
Crest Animation Studios Limited,CRESTCOMM,CRESTANI,2005-01-04
Crest Ventures Limited,SHARYANRES,SHARRESLTD,2006-12-27
Crest Ventures Limited,SHARRESLTD,CREST,2014-10-16
Cummins India Limited,KIRLOSKCUM,CUMMINSIND,2005-06-17
Cura Technologies Limited,SOFTPRO,CURATECH,2010-11-23
Cyient Limited,INFOTECENT,CYIENT,2014-05-22
DCB Bank Limited,DCB,DCBBANK,2014-01-15
DCM Shriram Limited,DCMSRMCONS,DCMSHRIRAM,2014-03-13
DEEP ENERGY RESOURCES LIMITED,DEEPIND,DEEPENR,2020-09-30
DELPHI WORLD MONEY LIMITED,WEIZFOREX,EBIXFOREX,2020-03-20
DELPHI WORLD MONEY LIMITED,EBIXFOREX,DELPHIFX,2021-09-01
DHARAN INFRA-EPC LIMITED,KBCGLOBAL,DHARAN,2025-06-26
DIC India Limited,COATESIND,DICIND,2004-09-06
DMCC SPECIALITY CHEMICALS LIMITED,DHARAMSI,DMCC,2022-11-02
DSP  Mutual Fund - DSP Nifty 50 ETF,DSPN50ETF,NIFTY50ADD,2024-02-15
DSP  Mutual Fund - DSP Nifty 50 ETF,NIFTY50ADD,NIFTYADD,2025-12-15
DSP  Mutual Fund - DSP Nifty 50 Equal Weight ETF,DSPNEWETF,EQUAL50ADD,2024-02-15
DSP  Mutual Fund - DSP Nifty Bank ETF,DSPBANKETF,BANKETFADD,2024-02-15
DSP  Mutual Fund - DSP Nifty Bank ETF,BANKETFADD,BANKADD,2025-12-15
DSP  Mutual Fund - DSP Nifty Midcap 150 Quality 50 ETF,DSPQ50ETF,MIDQ50ADD,2024-02-15
DSP  Mutual Fund - DSP Silver ETF,DSPSILVETF,SILVERADD,2024-02-15
DSP BSE Sensex ETF,DSPSENXETF,SENSEXADD,2024-02-15
DSP Mutual Fund - DSP Gold ETF,DSPGOLDETF,GOLDETFADD,2024-02-15
DSP Mutual Fund - DSP Gold ETF,GOLDETFADD,GOLDADD,2025-12-15
DSP Mutual Fund - DSP Nifty IT ETF,DSPITETF,ITETFADD,2024-02-15
DSP Mutual Fund - DSP Nifty IT ETF,ITETFADD,ITADD,2025-12-15
DSP Mutual Fund - DSP Nifty PSU Bank ETF,DSPPSBKETF,PSUBANKADD,2024-02-15
DSP Mutual Fund - DSP Nifty Private Bank ETF,DSPPVBKETF,PVTBANKADD,2024-02-15
Dalmia Bharat Limited,DALMIABEL,DALMIABHA,2013-01-09
Dalmia Bharat Sugar and Industries Limited,DALMIACEM,DALMIASUG,2010-09-30
Dalmia Refractories Limited,SHRINATRAJ,DALMIAREF,2014-05-22
Datamatics Global Services Limited,DATATECH,DATAMATICS,2009-04-20
De Nora India Limited,TITANOCOMP,DENORA,2007-08-20
Deccan Cements Limited,DECCANCEM,DECCANCE,2007-08-02
Delta Corp Limited,ARROWGROUP,DELTACORP,2008-12-11
Delta Manufacturing Limited,GPELECT,DELTAMAGNT,2008-12-15
