membership_date,price_date_used,membership_symbol,status,resolved_price_symbol,alias_component
2015-04-30,2015-04-30,WELSPUNLIV,RESOLVED,WELSPUNIND,WELSPUNIND;WELSPUNLIV
2015-04-30,2015-04-30,ZFCVINDIA,RESOLVED,WABCOINDIA,WABCO-TVS;WABCOINDIA;ZFCVINDIA
2015-04-30,2015-04-30,ZYDUSLIFE,RESOLVED,CADILAHC,CADILAHC;ZYDUSLIFE
2016-03-31,2016-03-31,360ONE,UNRESOLVED,,360ONE;IIFLWAM
2016-03-31,2016-03-31,ABREL,RESOLVED,CENTURYTEX,ABREL;CENTURYTEX
2016-03-31,2016-03-31,ADANIENSOL,RESOLVED,ADANITRANS,ADANIENSOL;ADANITRANS
2016-03-31,2016-03-31,AEGISLOG,RESOLVED,AEGISCHEM,AEGISCHEM;AEGISLOG
2016-03-31,2016-03-31,ANGELONE,UNRESOLVED,,ANGELBRKG;ANGELONE
2016-03-31,2016-03-31,ARE&M,RESOLVED,AMARAJABAT,AMARAJABAT;ARE&M
2016-03-31,2016-03-31,BAJAJCON,RESOLVED,BAJAJCORP,BAJAJCON;BAJAJCORP
2016-03-31,2016-03-31,BHARATFIN,RESOLVED,SKSMICRO,BHARATFIN;SKSMICRO
2016-03-31,2016-03-31,CGPOWER,RESOLVED,CROMPGREAV,CGPOWER;CROMPGREAV
2016-03-31,2016-03-31,CHOLAHLDNG,UNRESOLVED,,CHOLAHLDNG;TIFIN
2016-03-31,2016-03-31,CIEINDIA,RESOLVED,MAHINDCIE,CIEINDIA;MAHINDCIE;MAHINDFORG
2016-03-31,2016-03-31,COFORGE,RESOLVED,NIITTECH,COFORGE;NIITTECH
2016-03-31,2016-03-31,COHANCE,UNRESOLVED,,COHANCE;SUVENPHAR
2016-03-31,2016-03-31,CROMPTON,UNRESOLVED,,CROMPTON
2016-03-31,2016-03-31,DALBHARAT,UNRESOLVED,,DALBHARAT
2016-03-31,2016-03-31,EPIGRAL,UNRESOLVED,,EPIGRAL;MFL
2016-03-31,2016-03-31,EPL,RESOLVED,ESSELPACK,EPL;ESSELPACK
2016-03-31,2016-03-31,EQUITAS,UNRESOLVED,,EQUITAS
2016-03-31,2016-03-31,GEPIL,RESOLVED,AIL,ABBALPO;AIL;APIL;GEPIL;GVPIL
2016-03-31,2016-03-31,GET&D,RESOLVED,ALSTOMT&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2016-03-31,2016-03-31,GMRAIRPORT,RESOLVED,GMRINFRA,GMRAIRPORT;GMRINFRA
2016-03-31,2016-03-31,GVT&D,RESOLVED,ALSTOMT&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D
2016-03-31,2016-03-31,HBLENGINE,RESOLVED,HBLPOWER,HBLENGINE;HBLPOWER
2016-03-31,2016-03-31,HUHTAMAKI,RESOLVED,PAPERPROD,HUHTAMAKI;PAPERPROD
2016-03-31,2016-03-31,IDFCFIRSTB,RESOLVED,IDFCBANK,IDFCBANK;IDFCFIRSTB
2016-03-31,2016-03-31,INDUSTOWER,RESOLVED,INFRATEL,INDUSTOWER;INFRATEL
2016-03-31,2016-03-31,INFIBEAM,UNRESOLVED,,CCAVENUE;INFIBEAM
2016-03-31,2016-03-31,JCHAC,RESOLVED,HITACHIHOM,AMTREXAPPL;BOSCH-HCIL;HITACHIHOM;JCHAC
2016-03-31,2016-03-31,JSWDULUX,RESOLVED,AKZOINDIA,AKZOINDIA;ICI;JSWDULUX
2016-03-31,2016-03-31,KPIL,RESOLVED,KALPATPOWR,KALPATPOWR;KPIL
2016-03-31,2016-03-31,LTF,RESOLVED,L&TFH,L&TFH;LTF
2016-03-31,2016-03-31,MOTHERSON,RESOLVED,MOTHERSUMI,MOTHERSON;MOTHERSUMI
2016-03-31,2016-03-31,NLCINDIA,RESOLVED,NEYVELILIG,NEYVELILIG;NLCINDIA
2016-03-31,2016-03-31,PCBL,RESOLVED,PHILIPCARB,PCBL;PHILIPCARB
2016-03-31,2016-03-31,PGHL,RESOLVED,MERCK,EMERCK;MERCK;PGHL
2016-03-31,2016-03-31,RHIM,RESOLVED,ORIENTREF,ORIENTREF;RHIM
2016-03-31,2016-03-31,RNAVAL,RESOLVED,RDEL,PIPAVAVDOC;PIPAVAVYD;RDEL;RNAVAL
2016-03-31,2016-03-31,SAMMAANCAP,RESOLVED,IBULHSGFIN,IBULHSGFIN;SAMMAANCAP
2016-03-31,2016-03-31,SCHAEFFLER,RESOLVED,FAGBEARING,FAGBEARING;FAGPRECISN;SCHAEFFLER
2016-03-31,2016-03-31,SGPC,UNRESOLVED,,SGPC
2016-03-31,2016-03-31,SHRIRAMFIN,RESOLVED,SRTRANSFIN,SHRIRAMFIN;SRTRANSFIN
2016-03-31,2016-03-31,SHTV,UNRESOLVED,,SHTV
2016-03-31,2016-03-31,SITINET,RESOLVED,SITICABLE,SITICABLE;SITINET;WWIL
2016-03-31,2016-03-31,STLTECH,RESOLVED,STRTECH,STLTECH;STROPTICAL;STRTECH
2016-03-31,2016-03-31,SWANCORP,RESOLVED,SWANENERGY,SWANCORP;SWANENERGY
2016-03-31,2016-03-31,TATACONSUM,RESOLVED,TATAGLOBAL,TATACONSUM;TATAGLOBAL;TATATEA
2016-03-31,2016-03-31,TMPV,RESOLVED,TATAMOTORS,TATAMOTORS;TELCO;TMPV
2016-03-31,2016-03-31,UNITDSPR,RESOLVED,MCDOWELL-N,MCDOWELL-N;UNITDSPR
