source_id,local_path,source_url,retrieved_at_utc,publication_date,applicable_date,effective_date_candidates,document_type,mime_type,byte_count,sha256,retrieval_status,parsed_additions,parsed_deletions,parsed_event_rows,contains_nifty500_text,parse_status,parse_error
NIFTY_0872ba28a915,data/raw/membership_official/notices/ind_prs21012015.pdf,https://niftyindices.com/Press_Release/ind_prs21012015.pdf,2026-09-14T20:27:45.201088+00:00,2015-01-21,2015-02-02,2015-02-02,index_change_notice,application/pdf,26138,01060f90ac8fd9919dbf0bf814f6cf8b93939f85cc1d1789a40cb581dbc85359,OK,2,2,4,True,PARSED,
NIFTY_3eb87ed0e939,data/raw/membership_official/notices/ind_prs21012019.pdf,https://niftyindices.com/Press_Release/ind_prs21012019.pdf,2026-09-14T20:16:28.180665+00:00,2019-01-21,2019-01-28,2019-01-28,index_change_notice,application/pdf,252308,ff617ab210bc5a1519e2432ebc03a0737b2a103245b2cab0767442be7edd323d,OK,2,2,4,True,PARSED,
NIFTY_5939439dc3ee,data/raw/membership_official/notices/ind_prs21022018.pdf,https://niftyindices.com/Press_Release/ind_prs21022018.pdf,2026-09-14T20:16:25.214232+00:00,2018-02-21,2018-04-02,2018-04-02,index_change_notice,application/pdf,575624,a31019896822ef7a28f2229ba5e1552c835f51952ee033d02a5f79c9c7914b3d,OK,25,25,50,True,PARSED,
NIFTY_28cfe4118f08,data/raw/membership_official/notices/ind_prs21022023.pdf,https://niftyindices.com/Press_Release/ind_prs21022023.pdf,2026-09-14T20:23:34.524666+00:00,2023-02-21,2023-02-28,2023-02-28,index_change_notice,application/pdf,170333,1a8cb72083b5379ba00df87c9aeacf97d4aa4be058b847b3d07b4fedaa637d18,OK,0,0,0,True,NO_BASE_INDEX_ROWS,
NIFTY_aa687937436e,data/raw/membership_official/notices/ind_prs22022016_2.pdf,https://niftyindices.com/Press_Release/ind_prs22022016_2.pdf,2026-09-14T20:27:42.684652+00:00,2016-02-22,2016-04-01,2016-04-01,index_change_notice,application/pdf,286822,db2e4802e43b68fcbfbbf2cb03cb59c6d5f9ebf086ab6687d5a15daa45c2525f,OK,76,75,151,True,PARSED,
NIFTY_c8ced63bea53,data/raw/membership_official/notices/ind_prs22042016.pdf,https://niftyindices.com/Press_Release/ind_prs22042016.pdf,2026-09-14T20:16:30.663382+00:00,2016-04-22,2016-04-29,2016-04-29,index_change_notice,application/pdf,177437,38de23921bf1aa369c43f4301f995e8b58e76cdfd16661575cbd7fda2d219ec4,OK,3,3,6,True,PARSED,
NIFTY_ae3c1e089851,data/raw/membership_official/notices/ind_prs22042021.pdf,https://niftyindices.com/Press_Release/ind_prs22042021.pdf,2026-09-14T20:16:37.083497+00:00,2021-04-22,2021-04-29,2021-04-29,index_change_notice,application/pdf,150728,8bfaa22775ab3c237a31df1a378365fd27601f171ad04f27de87191c10abcbc4,OK,2,2,4,True,PARSED,
NIFTY_6465cc2fa9e3,data/raw/membership_official/notices/ind_prs22102021.pdf,https://niftyindices.com/Press_Release/ind_prs22102021.pdf,2026-09-14T20:16:45.734243+00:00,2021-10-22,2021-10-29,2021-10-29,index_change_notice,application/pdf,200384,2dba81e7821ff406d7e4a80eccbeb852a741f7a712cd3a9e5468c1d22a40b767,OK,1,1,2,True,PARSED,
NIFTY_c79ad143bce6,data/raw/membership_official/notices/ind_prs22122022.pdf,https://niftyindices.com/Press_Release/ind_prs22122022.pdf,2026-09-14T20:16:47.279668+00:00,2022-12-22,2022-12-30,2022-12-30,index_change_notice,application/pdf,189630,d9c590cb31309bfe323e851594fe76f9f632cd05a835c85bfe97196d89e043be,OK,1,1,2,True,PARSED,
NIFTY_e437f2b53c8f,data/raw/membership_official/notices/ind_prs23012015.pdf,https://niftyindices.com/Press_Release/ind_prs23012015.pdf,2026-09-14T20:27:44.895004+00:00,2015-01-23,,2015-02-02;2015-02-23,index_change_notice,application/pdf,19116,e6472350cb1369dcbacbbbb1d65a1b7c70aac7bc2faff1e008dc152d0f1acbcc,OK,1,1,2,True,PARSED,
