security_id,published_symbol,membership_from,membership_to,listing_or_first_observed_date,date_evidence,days_membership_precedes_reference,status
NSE_0C8E43FADDB8,IVRCLINFRA,2014-08-28,2016-04-01,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_0CDA14210E4D,DISHTV,2016-04-01,2021-09-30,2007-04-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0D4C56FAB9A2,PFOCUS,2014-08-28,2015-03-27,2006-06-20,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0DF5BDD0F1AA,DBL,2017-03-31,2023-03-31,2016-08-11,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0E49BB8B75B8,VBL,2017-05-26,,2016-11-08,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_0E5DBEE7C6DB,GOCOLORS,2022-03-31,,2021-11-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0E88CB8DDD57,LAKSHVILAS,2014-08-28,2020-06-26,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_0F5D12813238,AAVAS,2019-03-29,,2018-10-08,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0F72F66469D6,GRAPHITE,2014-08-28,2016-04-01,2003-02-07,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0F72F66469D6,GRAPHITE,2018-04-02,,2003-02-07,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_0FF5DAC53AF6,ITDC,2017-09-29,2020-09-25,2016-12-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_108254EF6AA4,MOTHERSUMI,2014-08-28,2021-06-30,1996-08-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_108254EF6AA4,MOTHERSON,2022-09-30,,1996-08-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_11AC767B4B31,NHPC,2014-08-28,,2009-09-01,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_11D6411F8FF1,UNICHEMLAB,2014-08-28,2019-03-29,2001-02-07,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_11DA18056321,GARFIBRES,2019-09-27,,2007-04-03,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_12EA8D83A7E0,HIKAL,2021-09-30,,2001-02-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_13077239C5DD,GLAXO,2014-08-28,,2000-12-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1377DAD88BB5,RTNINDIA,2022-03-31,,2012-07-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_13A9C334E040,JMFINANCIL,2014-08-28,,2006-10-10,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_13CDBE86B707,TATACOFFEE,2014-08-28,2019-09-27,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_13CDBE86B707,TATACOFFEE,2020-09-25,2023-03-31,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_145A8828E1E4,CYIENT,2014-08-28,,1998-09-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1469848A6218,MAXINDIA,2017-03-16,2019-12-27,2016-07-14,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_148E052CEC64,GRANULES,2016-04-01,,2005-06-20,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_14A636C8E6CC,ADANIGREEN,2018-12-28,,2018-06-18,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_14E9DE97CA1E,UNIONBANK,2014-08-28,,2002-09-24,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_15269CF9ABBD,TAKE,2016-04-01,2020-09-25,2007-08-27,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_15523813BD4A,NOIDATOLL,2014-08-28,2016-04-01,2002-12-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_158A5A0513EB,APOLLOTYRE,2014-08-28,,1995-05-31,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_158E1D664C69,M&M,2014-08-28,,1996-01-03,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1671B749B56F,IDFC,2014-08-28,2015-05-29,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_1671B749B56F,IDFC,2016-04-01,,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_16B5A2168926,TMB,2023-03-31,,2022-09-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_16BD845CA93B,RNAM,2018-09-28,,2017-11-06,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1788C1AB50E0,FEDERALBNK,2014-08-28,,1995-02-08,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1789CF98709C,BLUEDART,2014-08-28,,2002-12-12,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1846247E74B4,JBMA,2022-09-30,,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_18632E719904,ASIANPAINT,2014-08-28,,1995-05-31,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_18BAEEDF7BCF,INGVYSYABK,2014-08-28,2015-02-02,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_18C985741CBC,VOLTAS,2014-08-28,,1995-04-12,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_18DCA12D261A,DATAPATTNS,2023-03-31,,2021-12-24,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1957FAB1366F,INDOCO,2016-04-01,2019-09-27,2005-01-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1957FAB1366F,INDOCO,2020-06-26,2023-03-31,2005-01-14,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_197A5E03B180,ROUTE,2021-03-31,,2020-09-21,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1A8C5F9B8D6A,GAIL,2014-08-28,,1997-04-02,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1B08C46FE83D,UFLEX,2014-08-28,,1995-08-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1B3977E94B43,CRAFTSMAN,2023-03-31,,2021-03-25,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1B43303A9FAD,INDOSTAR,2019-03-29,2020-09-25,2018-05-21,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1BB2D50D7572,EQUITAS,2016-09-30,2022-09-30,2016-04-21,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_1BB33DC3AD65,INDUSINDBK,2014-08-28,,1998-01-28,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1BBE3C0F77F8,STARHEALTH,2022-03-31,,2021-12-10,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1BD67E329F69,JYOTHYLAB,2014-08-28,,2007-12-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1BF63B49C19E,TVTODAY,2014-09-19,2016-04-01,2004-01-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1BF63B49C19E,TVTODAY,2016-04-29,2021-03-31,2004-01-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1C6C6783C7E2,COREEDUTEC,2014-08-28,2014-09-19,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_1CC155F94220,IGL,2014-08-28,,2003-12-26,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1E720E0D76DE,PARAGMILK,2017-03-31,2020-06-26,2016-05-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1E79FBEEA506,NAZARA,2021-09-30,,2021-03-30,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_1EDC5AB6BDE5,GAYAPROJ,2015-12-14,2017-11-20,2011-08-22,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1EDC5AB6BDE5,GAYAPROJ,2018-09-28,2020-06-26,2011-08-22,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1FA96B1CD798,MARUTI,2014-08-28,,2003-07-09,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_1FE8B4643571,GEOJITBNPP,2014-08-28,2016-04-01,2005-07-01,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_20307E93F24D,BANKBARODA,2014-08-28,,1997-02-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2067B53F47F0,HOTELEELA,2014-08-28,2015-09-28,1995-07-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_2067B53F47F0,HOTELEELA,2016-04-01,2016-09-30,1995-07-19,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_20780186B67E,SKFINDIA,2014-08-28,,1999-01-27,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_20BC4C6421FA,TV18BRDCST,2014-08-28,,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_2216670637F8,WELSPUNIND,2014-08-28,,2003-12-04,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_221B7F10DD50,HINDOILEXP,2014-08-28,2015-09-28,2003-09-23,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_22269AA0FB3D,ELDERPHARM,2014-08-28,2015-03-27,2013-01-01,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_22A49E238B39,GMRINFRA,2014-08-28,2021-10-29,2006-08-21,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_22A49E238B39,GMRINFRA,2022-05-04,,2006-08-21,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_22C8D50BA4F4,SAREGAMA,2022-03-31,2022-12-30,1997-07-30,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_22FC8142A6A2,VIVIDHA,2015-05-29,2016-04-01,2013-05-21,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_232F7BA109E4,ANGELBRKG,2021-03-31,,2020-10-05,FIRST_OBSERVED_PRICE_PROXY,0,PASS
NSE_23357FE2177E,MANYAVAR,2022-09-30,,2022-02-16,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_236B5AF21B4D,FINCABLES,2014-08-28,,1995-02-15,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_238128DD84D9,MSUMI,2022-09-30,,2022-03-28,CURRENT_NSE_EQUITY_MASTER,0,PASS
NSE_23C7CF9A3EAE,ICRA,2014-08-28,2018-04-02,2007-04-13,CURRENT_NSE_EQUITY_MASTER,0,PASS
