as_of_date,source_file,constituent_count,duplicate_symbol_count
2014-08-28,cnx500_Aug2014.pdf,500,0
2014-09-30,cnx500_Sep2014.pdf,500,0
2015-09-30,cnx500_Sep2015.pdf,500,0
2015-10-30,nifty500_Oct2015.pdf,500,0
2020-09-30,NIFTY_500_Sep2020.pdf,501,0
2020-10-30,NIFTY_500_Oct2020.pdf,501,0
2021-03-31,NIFTY_500_Mar2021.pdf,501,0
2021-09-30,NIFTY_500_Sep2021.pdf,501,0
2022-03-31,NIFTY_500_Mar2022.pdf,501,0
