source_file,publication_date,effective_date_candidates,contains_nifty500_text,parsed_event_rows,parse_error
ind_prs26122017_1.pdf,2017-12-26,2018-01-01,False,0,
ind_prs26122019.pdf,2019-12-26,2019-12-31,False,0,
ind_prs27042017.pdf,2017-04-27,2017-05-26,True,6,
ind_prs28082017.pdf,2017-08-28,2017-09-29,True,50,
ind_prs28082018.pdf,2018-08-28,2018-09-28,True,50,
ind_prs28082019.pdf,2019-08-28,2019-09-27,True,42,
ind_prs29042015.pdf,2015-04-29,2015-05-29,True,4,
ind_prs29082017.pdf,2017-08-29,2017-09-05;2017-09-29,True,2,
ind_prs30032017.pdf,2017-03-30,2017-04-03,False,0,
ind_prs30092020.pdf,2020-09-30,2020-10-08,False,0,
ind_prs31082018.pdf,2018-08-31,2018-09-28,True,2,
